palabra,SER_m,SER_sd,palabra_noaccents
abad,1.6111111111111112,1.2711699398086063,abad
abandonado,4.72972972972973,1.7582922372551133,abandonado
abandonar,3.9722222222222223,2.1042285469448836,abandonar
abandono,4.052631578947368,1.9305141231071996,abandono
abanicarse,4.257142857142857,1.8042899392486649,abanicarse
abarcar,2.5294117647058822,1.3758808554312565,abarcar
abastecer,3.2058823529411766,1.8053692942913517,abastecer
abeja,4.777777777777778,1.8687063686046266,abeja
abejas,4.617647058823529,1.8093143834956986,abejas
aberración,3.5405405405405403,2.008241278590058,aberracion
abertura,3.1538461538461537,1.8572540786199954,abertura
abierta,3.3823529411764706,1.7235394498804246,abierta
abierto,4.085714285714285,1.9759052813007685,abierto
abismo,4.305555555555555,1.7041033577715452,abismo
aborto,4.676470588235294,2.010888364444991,aborto
abrasador,4.513513513513513,2.0360858640159667,abrasador
abrasar,4.918918918918919,1.8615760702870743,abrasar
abrazar,6.088235294117647,0.9959812295548892,abrazar
abrazo,6.090909090909091,1.2339883600452937,abrazo
abrigar,4.378378378378378,1.6890390323651059,abrigar
abrigarse,4.722222222222222,1.7502834237608669,abrigarse
abrigo,4.588235294117647,1.4795094817524375,abrigo
abril,3.264705882352941,1.8959098484099086,abril
abrir,3.2941176470588234,1.8179144188395115,abrir
abrochar,2.810810810810811,1.4498627873361334,abrochar
abrocharse,3.342857142857143,1.4741469545799968,abrocharse
abrumado,3.641025641025641,1.7989350575911573,abrumado
absoluta,3.5428571428571427,1.8205179796655993,absoluta
absoluto,3.081081081081081,2.059913406734187,absoluto
absorber,3.5405405405405403,1.8796364097965947,absorber
abstener,2.914285714285714,1.5023790657297034,abstener
abstracto,3.473684210526316,1.9554061181174056,abstracto
abstraer,3.235294117647059,1.7066505124012652,abstraer
absurdo,3.588235294117647,1.4998514483779473,absurdo
abuelo,4.894736842105263,1.9971530234677848,abuelo
abundancia,3.857142857142857,1.784621514377722,abundancia
abundante,3.942857142857143,1.6967591451466097,abundante
aburrida,4.162162162162162,2.0751641637003817,aburrida
aburrido,4.166666666666667,1.9346465162548798,aburrido
aburrir,4.2,1.9220087531171195,aburrir
aburrirse,4.4411764705882355,2.0477804165928304,aburrirse
abusar,4.277777777777778,1.9655767762903749,abusar
abuso,4.657894736842105,1.8927502624984014,abuso
acabar,3.5,1.9108938095862762,acabar
acabarse,3.5454545454545454,1.9217652869645185,acabarse
academia,2.735294117647059,1.5037090210424189,academia
académico,3.2058823529411766,1.8053692942913517,academico
acampada,4.294117647058823,1.6611316289716633,acampada
acampar,4.485714285714286,1.8844788415372777,acampar
acaparar,2.8823529411764706,1.4722628611303803,acaparar
acariciar,5.882352941176471,1.4091627835156704,acariciar
acarrear,2.3947368421052633,1.65283497131134,acarrear
acceder,2.6486486486486487,1.531452038212541,acceder
acceso,2.6944444444444446,1.9540353037378748,acceso
accidente,5.264705882352941,1.377499348939224,accidente
acción,3.9743589743589745,2.0962018219323744,accion
aceite,4.105263157894737,1.656917908619275,aceite
acelerar,4.617647058823529,1.4357915329891062,acelerar
acelgas,4.085714285714285,2.0489800701156398,acelgas
acento,3.588235294117647,2.061444728146119,acento
acentuar,2.25,1.5923926292577109,acentuar
acepción,2.2857142857142856,1.3627702877384937,acepcion
acequia,2.5,1.6376257758774382,acequia
acera,2.3684210526315788,1.4222375335037991,acera
acercarse,3.526315789473684,1.6722996321664232,acercarse
acero,3.4411764705882355,1.941433030093668,acero
acertar,4.057142857142857,1.781322330095673,acertar
ácido,5.285714285714286,1.7076200943285427,acido
aclamar,3.5277777777777777,1.8436936701107236,aclamar
acobardar,3.2777777777777777,1.8763355032176205,acobardar
acogedor,5.0,1.7320508075688772,acogedor
acoger,3.5428571428571427,2.0050356772952673,acoger
acomodar,3.911764705882353,1.4846211037658332,acomodar
acompañada,4.4,1.8818013897827355,acompanada
acompañado,4.542857142857143,1.5212776585113301,acompanado
acompañar,3.411764705882353,1.5976810289390462,acompanar
acontecimiento,3.914285714285714,1.6868248727299773,acontecimiento
acoplarse,3.6923076923076925,1.8659532085554067,acoplarse
acordar,3.411764705882353,1.8605578677704808,acordar
acordarse,3.323529411764706,1.6827212490900083,acordarse
acordeón,3.3783783783783785,2.01868151898091,acordeon
acostar,4.914285714285715,1.2688908674954853,acostar
acostarse,5.2727272727272725,1.5666989036012802,acostarse
acostumbrar,3.2857142857142856,1.6551422290302815,acostumbrar
acostumbrarse,3.2058823529411766,1.754291910416243,acostumbrarse
acotar,1.9428571428571428,1.1867617121160159,acotar
acre,2.5428571428571427,1.578213009235765,acre
acreditar,2.411764705882353,1.3054117441431576,acreditar
activar,3.0588235294117645,1.6132251993048006,activar
actividad,3.4722222222222223,1.9782548024691016,actividad
activo,4.131578947368421,1.9196150040748101,activo
acto,3.8285714285714287,1.5240370978523623,acto
actor,4.171428571428572,1.5046147501000002,actor
actriz,3.2777777777777777,1.7502834237608673,actriz
actual,3.5714285714285716,1.9746289939797668,actual
actualidad,3.588235294117647,1.7428233287055273,actualidad
actuar,4.051282051282051,2.0124444150377756,actuar
acuchillar,4.588235294117647,2.105082551592599,acuchillar
acudir,2.5135135135135136,1.5022505639062869,acudir
acuerdo,2.8684210526315788,1.8769015961703934,acuerdo
acumular,2.5555555555555554,1.106976433984403,acumular
acurrucarse,5.111111111111111,1.8788716641002199,acurrucarse
acusar,3.58974358974359,1.9697441554137876,acusar
acústica,4.147058823529412,1.827937286590452,acustica
adaptar,3.3529411764705883,2.0726553447819343,adaptar
adecuado,3.054054054054054,1.7942182752439064,adecuado
adelantar,3.0588235294117645,1.4129525602833974,adelantar
ademán,2.235294117647059,1.4576615463133797,ademan
adherirse,2.823529411764706,1.731536158676943,adherirse
adhesión,2.641025641025641,1.8279580135564482,adhesion
adhesiva,3.2777777777777777,1.717325347511749,adhesiva
adicción,5.257142857142857,1.4213261649694948,adiccion
adicto,4.157894736842105,1.7167901505579044,adicto
adiestrar,3.1578947368421053,1.7167901505579042,adiestrar
adinerado,2.8055555555555554,1.6530395284262511,adinerado
adivinar,2.8333333333333335,1.889822365046136,adivinar
adjetivo,2.5526315789473686,1.6877518778357143,adjetivo
adjuntar,1.9705882352941178,1.1142409868727206,adjuntar
admirado,4.333333333333333,1.8400991582740047,admirado
admirar,4.8,1.7954190072973792,admirar
admitir,3.0555555555555554,1.9558621693250335,admitir
adoctrinar,3.3714285714285714,1.8800143035393655,adoctrinar
adolescente,4.410256410256411,1.5847621225771382,adolescente
adorable,5.5675675675675675,1.4632638658632762,adorable
adorar,3.611111111111111,2.0877572078022286,adorar
adosado,2.176470588235294,1.2178119533221001,adosado
adquirir,3.5128205128205128,1.9038989755346356,adquirir
aduana,2.588235294117647,1.4998514483779473,aduana
adueñar,2.6052631578947367,1.461940097197954,aduenar
adulterar,3.6857142857142855,1.8274287396008984,adulterar
adulto,3.057142857142857,1.9843928860108375,adulto
advertencia,4.029411764705882,1.6234138014586696,advertencia
advertir,3.4285714285714284,1.5771477286491564,advertir
