palabra,valencia_m,valencia_sd,activacion_m,activacion_sd,familiaridad_m,familiaridad_sd,concrecion_m,concrecion_sd,categoria_palabra,palabra_noaccents
abeja,3.34,1.85,6.79,1.51,4.99,1.38,6.64,0.69,1,abeja
abejorro,2.13,1.32,7.08,1.58,3.55,1.81,5.89,1.15,1,abejorro
águila,6.16,1.55,6.0,1.68,3.49,1.83,5.77,1.35,1,aguila
alce,5.47,1.67,4.57,2.02,1.72,0.9,5.17,1.66,1,alce
almeja,4.92,1.7,3.42,1.75,3.43,1.79,5.29,1.97,1,almeja
anguila,3.76,2.14,5.55,1.8,2.5,1.39,5.83,1.37,1,anguila
ardilla,6.76,1.24,4.47,2.02,2.59,1.6,6.73,0.37,1,ardilla
asno,5.32,1.69,4.53,1.59,2.74,1.73,5.41,1.46,1,asno
atún,5.74,1.77,4.84,1.7,5.23,1.57,5.98,1.18,1,atun
avestruz,5.26,1.5,4.5,1.89,3.19,1.63,6.61,0.58,1,avestruz
babosa,2.13,1.34,5.08,2.53,2.83,1.65,5.32,1.44,1,babosa
ballena,6.38,1.36,4.43,1.97,3.91,1.7,6.22,1.05,1,ballena
bisonte,4.54,1.43,5.32,2.21,1.63,1.01,5.5,1.63,1,bisonte
buey,5.0,1.45,4.0,1.95,1.78,1.2,6.22,0.93,1,buey
búfalo,4.21,1.61,5.39,2.11,2.32,1.44,6.46,0.73,1,bufalo
buitre,3.18,1.29,5.42,1.35,2.86,1.61,5.44,1.8,1,buitre
burro,5.26,1.81,3.92,1.4,4.27,1.8,5.89,1.11,1,burro
caimán,4.39,2.1,5.66,2.11,1.87,0.96,6.28,0.85,1,caiman
camaleón,5.58,1.73,5.11,1.87,2.35,1.35,5.92,0.99,1,camaleon
camello,5.82,1.5,4.87,1.91,3.46,1.97,5.92,0.97,1,camello
canario,6.05,1.64,4.34,2.03,3.22,1.66,5.08,1.55,1,canario
cangrejo,5.16,1.73,3.97,2.07,4.18,1.82,6.25,0.94,1,cangrejo
canguro,6.13,1.07,4.95,2.0,3.58,2.0,6.01,1.29,1,canguro
caracol,5.05,1.96,3.21,2.11,4.0,1.48,6.16,0.93,1,caracol
cebra,5.71,1.45,5.03,1.73,3.37,2.04,5.89,1.69,1,cebra
chacal,4.5,1.86,5.56,1.9,1.75,1.28,5.41,1.75,1,chacal
chimpancé,6.24,1.22,5.89,1.45,3.46,1.93,6.16,1.39,1,chimpance
chinche,2.51,1.69,5.91,2.16,2.17,1.26,5.41,1.62,1,chinche
ciervo,6.53,1.2,4.87,1.73,2.68,1.69,5.74,1.5,1,ciervo
cigüeña,5.87,1.34,4.63,1.81,2.71,1.52,6.34,0.9,1,ciguena
cisne,7.32,1.12,4.39,1.98,3.31,1.56,6.31,0.61,1,cisne
cochinilla,4.05,1.86,4.05,2.28,2.38,1.99,4.87,1.9,1,cochinilla
cocodrilo,4.63,1.94,6.61,1.82,3.64,1.94,6.16,1.09,1,cocodrilo
colibrí,5.97,1.65,4.18,2.25,1.66,1.0,6.16,1.36,1,colibri
comadreja,4.29,1.47,4.87,1.77,1.9,1.26,6.01,1.16,1,comadreja
cotorra,4.05,1.79,4.97,1.9,3.43,1.95,4.36,1.61,1,cotorra
cuervo,3.66,1.55,4.45,2.05,2.68,1.3,6.4,0.57,1,cuervo
culebra,1.82,1.18,7.58,1.54,3.16,1.76,5.74,1.16,1,culebra
delfín,7.74,1.08,5.21,2.29,3.1,1.56,6.58,0.62,1,delfin
dromedario,5.32,1.32,3.55,1.88,2.41,1.76,6.07,1.49,1,dromedario
elefante,5.97,1.3,5.08,2.07,3.16,1.89,6.49,0.74,1,elefante
erizo,5.13,1.98,5.42,1.78,1.93,0.95,6.25,0.94,1,erizo
escarabajo,3.37,1.68,4.55,2.29,2.77,1.35,5.89,1.15,1,escarabajo
faisán,5.19,1.13,4.32,2.1,2.17,1.4,6.13,1.05,1,faisan
foca,5.95,1.84,5.0,1.72,2.41,1.55,5.5,1.9,1,foca
gacela,5.57,1.12,4.68,2.12,2.29,1.57,6.37,0.8,1,gacela
gallina,4.58,1.22,4.61,1.6,3.73,1.97,5.44,1.74,1,gallina
ganso,4.87,1.85,4.32,1.97,2.29,1.31,5.38,1.4,1,ganso
garrapata,1.95,1.27,5.95,2.4,2.41,1.3,5.92,1.32,1,garrapata
garza,4.86,1.55,4.46,1.69,2.17,1.75,5.8,1.63,1,garza
gaviota,5.0,1.99,5.03,1.92,3.52,1.74,6.19,1.16,1,gaviota
golondrina,6.32,1.32,4.34,1.83,2.59,1.55,5.62,1.05,1,golondrina
gorila,5.47,1.84,5.89,1.66,3.13,1.85,6.28,1.05,1,gorila
gorrión,5.71,1.39,4.37,1.89,2.74,1.86,5.92,1.58,1,gorrion
grillo,4.82,1.81,4.68,1.97,2.83,1.9,6.4,0.75,1,grillo
hámster,5.58,2.14,4.34,1.95,3.31,1.73,6.52,0.68,1,hamster
hiena,3.29,1.8,5.87,2.23,2.44,1.47,5.83,1.42,1,hiena
hipopótamo,5.5,1.62,5.05,2.09,1.87,0.94,6.43,0.73,1,hipopotamo
hormiga,4.45,1.46,3.5,2.04,4.18,1.83,6.43,1.04,1,hormiga
iguana,4.16,2.01,5.18,1.96,3.31,1.9,6.46,1.11,1,iguana
jabalí,4.0,1.86,5.82,2.09,2.89,1.45,6.52,0.61,1,jabali
jirafa,6.21,1.54,4.66,1.99,2.92,1.56,6.64,0.58,1,jirafa
koala,7.05,1.52,4.26,2.26,2.62,1.81,6.46,0.85,1,koala
lagartija,4.61,1.99,4.84,2.03,3.58,1.91,6.46,0.67,1,lagartija
lagarto,4.03,1.76,5.61,1.87,3.97,1.75,4.51,1.63,1,lagarto
lechuza,5.24,1.65,4.29,1.96,2.05,1.48,6.28,0.98,1,lechuza
leopardo,6.08,1.92,6.29,1.84,2.86,1.45,6.22,0.96,1,leopardo
libélula,5.16,1.87,5.16,1.88,2.41,1.41,6.46,0.63,1,libelula
liebre,5.61,1.22,4.68,1.88,3.37,1.67,5.8,1.42,1,liebre
lince,6.89,1.33,6.66,1.73,2.95,1.63,5.32,1.6,1,lince
lobo,4.82,2.36,6.82,1.74,3.55,1.81,6.01,1.33,1,lobo
lombriz,3.0,1.69,4.68,2.56,2.02,1.01,6.04,1.23,1,lombriz
loro,6.47,1.22,5.16,1.64,3.75,1.69,5.89,1.3,1,loro
luciérnaga,5.59,1.57,5.05,1.86,2.5,1.56,6.43,0.85,1,luciernaga
mapache,5.53,1.78,4.95,2.0,2.35,1.17,5.8,1.21,1,mapache
medusa,2.79,1.91,6.71,1.92,3.49,1.76,6.55,0.72,1,medusa
mejillón,5.34,1.66,3.58,2.07,3.52,1.76,6.07,1.29,1,mejillon
mofeta,3.68,1.89,5.55,1.74,2.53,1.58,5.91,1.47,1,mofeta
mono,6.34,1.65,5.68,2.04,3.43,1.68,4.96,1.25,1,mono
morsa,4.82,1.57,4.37,1.85,1.99,1.62,6.28,1.03,1,morsa
mosca,2.92,1.42,5.29,1.8,6.04,1.2,5.8,1.37,1,mosca
murciélago,3.58,2.27,5.42,2.49,3.49,1.85,6.28,0.96,1,murcielago
nutria,5.92,1.26,4.47,1.56,2.11,1.32,6.07,1.19,1,nutria
oca,5.39,1.62,4.18,2.12,3.07,2.0,5.83,1.4,1,oca
orangután,5.5,1.96,5.97,1.97,2.62,1.63,6.25,1.22,1,orangutan
oso,5.61,1.79,5.24,2.07,3.79,2.01,5.98,1.1,1,oso
ostra,3.87,1.88,3.74,1.97,2.56,1.78,5.86,1.65,1,ostra
oveja,5.66,1.34,4.03,1.98,3.01,1.6,6.13,0.94,1,oveja
pantera,5.74,2.02,6.58,1.72,2.68,1.75,6.43,0.87,1,pantera
