palabra,tiempo_tdl,tiempo_naming,edad_de_adquisicion_m,categoria_palabra,palabra_noaccents
abad,599,501.15,6.32,1,abad
abandonar,545,501.06,3.44,2,abandonar
abarcar,581,504.0,4.88,1,abarcar
abeja,516,474.55,2.24,1,abeja
aberración,647,567.37,6.42,1,aberracion
abertura,555,519.02,4.48,1,abertura
abismo,595,506.48,5.04,1,abismo
abrigo,528,475.31,1.46,1,abrigo
abril,515,458.69,2.48,1,abril
abrir,491,472.43,2.04,2,abrir
absorber,583,525.46,4.52,1,absorber
abuelo,482,500.19,1.58,1,abuelo
abundancia,634,547.62,4.52,1,abundancia
academia,569,521.75,4.72,1,academia
académico,556,551.52,4.84,1,academico
acariciar,567,527.49,2.32,1,acariciar
acarrear,600,532.59,5.68,2,acarrear
acceder,555,526.96,5.12,1,acceder
acceso,556,488.7,5.2,1,acceso
accidente,568,514.75,3.6,1,accidente
acción,510,451.9,4.0,1,accion
aceite,517,483.91,3.6,1,aceite
acelerar,545,547.04,4.28,1,acelerar
acento,557,485.06,3.92,1,acento
acentuar,583,524.35,4.68,1,acentuar
acepción,578,556.25,6.17,1,acepcion
acequia,623,574.24,6.08,1,acequia
acera,526,483.75,2.81,1,acera
acero,538,475.0,4.2,1,acero
acertar,559,505.92,2.64,2,acertar
ácido,552,483.21,4.16,1,acido
acomodar,579,528.68,4.56,1,acomodar
acordeón,587,558.0,3.65,1,acordeon
actividad,543,508.59,3.2,1,actividad
activo,551,486.21,4.0,3,activo
acto,517,477.25,3.86,1,acto
actor,504,485.42,3.12,1,actor
actriz,506,499.46,3.76,1,actriz
actuar,518,484.37,3.4,2,actuar
acudir,564,490.94,4.52,1,acudir
acumular,543,532.83,4.28,1,acumular
acústica,557,526.92,5.37,1,acustica
adaptar,505,503.66,4.84,1,adaptar
adelantar,562,524.92,3.88,1,adelantar
ademán,583,497.62,6.11,1,ademan
adhesión,673,543.24,6.03,1,adhesion
adicción,577,525.75,5.49,1,adiccion
adjetivo,531,526.35,3.88,0,adjetivo
admitir,531,495.13,4.4,1,admitir
adquirir,595,498.17,4.72,1,adquirir
aduana,619,532.94,6.04,1,aduana
adulto,520,464.43,3.12,1,adulto
advertir,559,533.29,4.84,1,advertir
aérea,581,552.0,4.6,1,aerea
afán,596,482.62,5.8,1,afan
afecto,548,491.54,4.2,1,afecto
afeitar,546,521.67,3.84,1,afeitar
afición,588,508.66,4.16,1,aficion
afrontar,567,527.6,4.88,1,afrontar
agencia,528,525.09,5.08,1,agencia
agenda,518,493.74,3.96,1,agenda
agente,520,495.73,4.64,1,agente
agonía,564,516.68,5.4,1,agonia
agosto,523,487.96,2.36,1,agosto
agregar,531,536.33,5.4,2,agregar
agresión,542,508.06,4.65,1,agresion
agua,495,482.79,1.22,1,agua
aguantar,555,504.78,2.8,1,aguantar
aguijón,593,584.62,4.72,1,aguijon
águila,580,512.96,2.54,1,aguila
aguja,523,511.06,2.12,1,aguja
aire,508,469.62,2.32,1,aire
ajedrez,513,529.22,3.29,1,ajedrez
ajo,555,485.86,2.85,1,ajo
ala,541,478.3,2.18,1,ala
alarma,536,492.06,3.6,1,alarma
