palabra,word,valencia_m,valencia_sd,activacion_m,activacion_sd,concrecion_m,concrecion_sd,imaginabilidad_m,imaginabilidad_sd,disponibilidad_contextual_m,disponibilidad_contextual_sd,familiaridad_m,familiaridad_sd,categoria_palabra,palabra_noaccents
abandono,abandonment,1.09,0.29,7.85,1.42,4.52,1.73,3.7,1.77,3.95,1.76,5.65,1.27,1,abandono
abanico,fan,5.64,0.99,3.57,2.02,5.64,1.56,6.86,0.36,4.67,1.93,5.15,2.06,1,abanico
abeja,bee,2.9,1.62,7.14,1.61,6.86,0.35,6.77,0.53,5.78,1.88,5.48,2.02,1,abeja
abejorro,bumblebee,3.4,1.31,6.95,1.91,6.59,0.8,6.35,1.27,4.96,2.16,4.32,2.03,1,abejorro
abismo,abyss,2.95,1.2,6.55,1.68,3.75,1.59,3.9,2.2,4.35,1.93,4.74,1.94,1,abismo
abnegación,abnegation,3.9,1.8,4.91,1.77,2.18,1.01,1.45,1.34,1.96,1.74,1.77,0.87,1,abnegacion
abogada,lawyer,5.05,1.15,4.95,1.82,5.57,1.16,5.8,1.58,5.18,2.06,5.61,1.75,1,abogada
aborto,abortion,2.5,1.5,6.9,1.52,5.75,1.41,3.3,1.56,5.0,1.92,6.14,0.91,1,aborto
abrigo,coat,4.4,1.7,3.75,1.65,4.33,1.43,6.96,0.21,6.0,1.6,6.71,0.64,1,abrigo
abstinente,abstinent,3.45,1.43,3.64,2.08,4.52,2.06,2.09,1.35,2.74,2.14,3.15,1.81,3,abstinente
absurdo,absurd,4.05,1.17,4.23,1.93,3.23,1.66,1.86,1.42,3.14,1.58,5.64,1.33,1,absurdo
abuela,grandmother,8.2,1.06,2.2,1.51,5.86,1.39,6.75,0.64,6.73,0.63,6.67,0.8,1,abuela
abuso,abuse,1.71,0.85,7.2,1.24,3.6,1.54,3.14,1.65,5.59,1.26,5.4,1.47,1,abuso
accidente,accident,1.52,0.68,7.5,1.3,4.2,1.36,5.73,1.28,6.35,1.31,5.9,1.68,1,accidente
acción,action,6.43,1.44,6.95,1.81,2.05,1.36,3.81,1.78,4.45,2.24,6.45,1.39,1,accion
acelerador,accelerator,5.9,1.21,6.64,1.89,5.86,0.65,4.73,1.98,5.09,2.17,5.86,1.53,1,acelerador
acento,accent,5.23,1.27,4.77,1.9,3.3,1.56,4.33,2.03,5.5,1.73,5.8,1.58,1,acento
aceptación,acceptance,8.35,1.14,5.36,2.52,2.95,1.64,3.29,2.1,3.35,1.9,5.85,1.46,1,aceptacion
acera,sidewalk,4.96,0.21,3.9,1.74,6.32,0.99,6.36,0.9,5.77,1.88,6.33,0.73,1,acera
acidez,acidity,4.09,1.54,6.14,1.7,4.91,1.76,2.7,1.74,3.91,2.45,4.96,1.94,1,acidez
ácido,acid,4.0,2.14,6.8,1.91,5.1,1.64,3.59,1.87,4.95,2.42,5.73,1.35,1,acido
acierto,confidence,7.8,1.96,5.45,2.15,4.52,1.78,3.3,1.82,4.83,2.08,6.0,1.34,1,acierto
acoso,harassment,1.43,0.66,7.95,1.32,3.09,1.48,3.13,1.36,4.18,2.28,5.0,2.05,1,acoso
acre,acre,4.91,0.43,3.65,1.84,4.4,2.06,2.1,1.64,1.14,0.47,1.77,1.31,1,acre
activar,to enable,5.73,1.03,6.36,1.65,3.87,2.16,3.04,2.23,3.64,2.22,5.15,1.42,1,activar
acto,event,5.83,1.4,6.19,1.69,3.23,1.69,1.91,1.02,4.4,2.16,5.41,1.53,1,acto
acuerdo,agreement,6.57,1.2,4.0,2.22,3.15,1.81,3.32,1.78,4.32,1.67,5.75,1.55,1,acuerdo
