palabra,valencia_m,valencia_sd,activacion_m,activacion_sd,concrecion_m,concrecion_sd,alegria_m,alegria_sd,ira_m,ira_sd,tristeza_m,tristeza_sd,miedo_m,miedo_sd,asco_m,asco_sd,word,categoria_palabra,palabra_noaccents
abandono,1.47,0.82,6.47,1.91,4.83,1.76,1.03,0.18,3.3,1.42,4.43,0.94,3.33,1.4,2.63,1.38,abandonment,1,abandono
abatir,3.03,1.52,5.4,2.34,3.68,1.54,1.24,0.69,2.66,1.23,3.17,1.28,2.86,1.22,1.31,0.66,to knock down,1,abatir
abierto,5.6,1.52,4.83,2.23,4.47,1.75,2.8,1.27,1.27,0.83,1.1,0.31,1.57,1.17,1.03,0.18,open,3,abierto
abismo,2.77,1.14,6.27,1.86,4.47,1.86,1.3,0.84,1.53,1.01,2.47,1.43,4.13,0.97,1.13,0.43,abyss,1,abismo
abrazar,8.67,0.55,5.83,2.44,6.08,1.11,4.73,0.45,1.0,0.0,2.0,1.46,1.63,0.93,1.0,0.0,to hug,1,abrazar
abrazo,8.14,1.48,5.83,2.84,5.86,1.58,4.8,0.41,1.1,0.31,2.23,1.41,1.77,1.14,1.13,0.43,hug,1,abrazo
abroncar,2.43,1.21,7.05,1.72,4.71,1.46,1.05,0.22,3.71,0.96,2.71,1.1,2.95,1.12,1.67,0.97,to get angry,2,abroncar
abuso,1.47,0.97,6.4,2.14,4.35,1.61,1.17,0.75,4.37,1.0,4.2,0.85,4.07,0.91,4.03,1.22,abuse,1,abuso
acariciar,8.2,0.85,6.13,2.74,5.78,1.13,4.47,0.82,1.1,0.31,1.43,0.57,1.27,0.64,1.13,0.35,to caress,1,acariciar
acatar,3.97,1.7,5.03,2.01,4.18,1.77,1.41,0.82,1.97,1.24,2.14,1.19,2.28,1.22,1.59,0.98,to comply with,1,acatar
aceptación,7.77,1.1,5.37,1.81,3.63,1.45,3.77,1.07,1.23,0.68,1.33,0.71,1.37,0.76,1.2,0.61,acceptance,1,aceptacion
acera,4.43,1.36,3.53,1.63,5.65,2.05,1.37,0.72,1.17,0.53,1.17,0.46,1.33,0.84,1.33,0.71,sidewalk,1,acera
aclamar,6.13,1.59,6.4,1.65,4.38,1.32,3.58,1.06,1.58,1.18,1.35,0.88,1.55,1.15,1.32,0.91,to acclaim,2,aclamar
acné,2.07,1.26,4.87,2.35,6.12,1.25,1.17,0.59,2.47,1.41,2.23,1.22,1.8,1.13,3.5,1.17,acne,1,acne
acogedora,7.93,1.17,3.83,2.21,4.43,1.56,4.33,0.8,1.13,0.5,1.26,0.68,1.23,0.56,1.16,0.52,cozy,1,acogedora
acosar,1.73,1.68,6.97,1.79,4.88,1.1,1.13,0.43,4.03,1.0,3.2,1.42,4.07,0.98,3.57,1.61,harass,1,acosar
actuar,6.0,1.51,6.35,1.82,3.96,1.41,3.0,1.39,1.6,1.13,1.43,0.97,2.0,1.2,1.37,0.89,to act,2,actuar
acuarela,5.93,1.95,4.2,2.27,5.6,1.64,2.93,1.41,1.17,0.53,1.9,1.32,1.17,0.53,1.2,0.55,watercolor,1,acuarela
acuático,5.97,1.5,5.5,1.63,3.7,1.53,3.1,1.21,1.07,0.25,1.1,0.31,1.83,1.02,1.27,0.69,aquatic,3,acuatico
acuchillar,1.87,1.89,7.23,2.22,5.65,1.64,1.13,0.57,3.9,1.52,3.43,1.45,4.0,1.34,3.4,1.5,to stab,1,acuchillar
acusar,3.0,2.02,6.8,1.79,4.83,1.24,1.19,0.75,3.52,1.18,3.13,1.23,3.13,1.26,2.55,1.36,to accuse,1,acusar
admirar,7.4,1.54,6.27,1.68,4.92,1.52,3.93,0.84,1.2,0.55,1.23,0.5,1.4,0.89,1.17,0.46,to admire,2,admirar
adulterado,2.62,1.42,5.41,2.27,4.34,1.49,1.11,0.42,2.75,1.32,2.0,1.28,2.68,1.44,2.89,1.1,adulterated,2,adulterado
adulterio,2.27,2.02,6.43,1.85,5.93,1.36,1.23,0.77,3.47,1.33,3.4,1.35,2.6,1.45,2.97,1.56,adultery,1,adulterio
advertir,4.2,1.56,5.87,1.98,4.1,1.45,1.7,0.79,2.03,1.25,1.83,0.99,2.77,1.1,1.47,0.73,to advise,1,advertir
afamado,5.42,1.5,5.42,1.54,4.75,1.85,2.5,1.15,1.4,0.75,1.55,0.76,1.55,0.89,1.65,1.14,famous,1,afamado
afectuoso,7.23,1.89,5.07,1.66,4.25,1.19,3.83,1.32,1.07,0.37,1.33,0.76,1.27,0.64,1.13,0.43,affectionate,3,afectuoso
afición,7.1,1.37,6.63,1.63,4.35,1.73,4.07,0.96,1.21,0.41,1.17,0.47,1.31,0.76,1.14,0.44,hobby,1,aficion
agencia,4.83,1.58,4.28,1.94,4.08,1.67,1.55,0.95,1.34,0.77,1.28,0.59,1.28,0.53,1.31,0.66,agency,1,agencia
aglomeración,3.37,1.97,7.37,1.83,5.03,1.57,1.77,1.01,2.47,1.38,1.43,0.73,2.47,1.28,2.1,1.18,conglomerate,1,aglomeracion
agonizar,1.2,0.48,6.93,2.03,5.05,1.62,1.0,0.0,3.03,1.38,4.1,1.18,4.17,0.97,1.72,1.1,to be dying,1,agonizar
agradar,8.07,0.94,5.53,2.16,4.7,1.32,4.43,0.77,1.07,0.25,1.13,0.43,1.3,0.65,1.1,0.31,to please,1,agradar
agredir,1.8,1.27,7.47,1.7,5.05,1.62,1.0,0.0,3.97,1.0,3.37,1.43,3.53,1.25,3.2,1.47,to assault,1,agredir
agua,6.8,2.19,3.67,2.4,5.9,1.73,3.0,1.36,1.17,0.59,1.37,0.85,1.87,1.31,1.27,0.91,water,1,agua
aguijón,2.52,1.66,6.76,1.79,6.59,0.93,1.04,0.19,2.39,1.4,1.64,0.91,3.75,1.43,2.75,1.38,sting,1,aguijon
ahogar,1.6,1.54,7.3,1.91,5.35,1.59,1.0,0.0,3.2,1.58,3.6,1.25,4.37,1.1,1.97,1.38,to choke,1,ahogar
ahorcar,1.55,1.33,7.52,2.2,6.12,1.42,1.03,0.19,3.83,1.26,3.66,1.49,3.97,1.5,3.03,1.64,to hang,1,ahorcar
alabar,6.43,2.37,5.1,1.97,4.15,1.73,3.43,0.97,1.33,0.92,1.3,0.84,1.43,0.86,1.47,0.9,to praise,2,alabar
alarma,3.0,1.49,7.8,1.37,5.3,1.46,1.45,0.87,2.34,1.37,1.86,1.13,3.23,1.45,1.48,1.02,alarm,1,alarma
alarmar,4.0,1.68,7.87,1.43,4.43,1.32,1.37,0.76,1.9,0.99,1.77,1.17,3.77,1.19,1.23,0.57,to alarm,1,alarmar
alegrar,8.6,0.62,7.5,1.48,4.3,1.57,4.73,0.58,1.03,0.18,1.07,0.25,1.43,0.77,1.0,0.0,to cheer up,1,alegrar
alegría,8.6,0.62,7.57,1.45,4.25,1.85,4.77,0.57,1.0,0.0,1.0,0.0,1.23,0.5,1.13,0.43,happiness,1,alegria
alentador,6.97,1.94,6.03,1.78,4.93,1.44,3.73,1.01,1.27,0.83,1.4,0.97,1.73,1.2,1.23,0.77,encouraging,1,alentador
alicatar,4.71,0.98,3.93,1.86,5.58,1.46,1.19,0.48,1.15,0.46,1.15,0.53,1.07,0.38,1.15,0.53,to tile,2,alicatar
alimentar,6.83,1.9,5.4,2.09,4.83,1.63,3.5,1.38,1.33,0.66,1.67,1.09,1.43,0.77,1.37,0.72,to feed,1,alimentar
alterado,3.63,2.03,7.43,1.5,4.5,1.46,1.63,0.96,2.87,1.61,2.4,1.1,2.83,1.32,1.47,0.9,annoyed,1,alterado
alto,5.67,1.37,4.6,1.61,4.35,1.8,2.2,1.1,1.13,0.43,1.2,0.48,1.6,0.86,1.23,0.5,tall,3,alto
aludir,4.69,0.93,4.97,1.59,3.48,1.62,1.59,0.91,1.24,0.58,1.28,0.53,1.38,0.68,1.17,0.38,to allude,1,aludir
amar,8.63,0.81,7.0,2.21,4.4,2.15,4.9,0.31,1.23,0.57,1.9,1.18,2.27,1.17,1.03,0.18,to love,2,amar
amargura,1.9,1.58,4.6,2.61,4.47,2.03,1.0,0.0,2.7,1.44,4.43,0.68,2.57,1.38,2.83,1.6,bitterness,1,amargura
amenazado,1.93,1.72,7.27,2.1,4.53,1.63,1.03,0.18,3.6,1.16,2.97,1.43,4.37,1.0,2.43,1.5,threated,1,amenazado
amenazador,2.03,1.79,7.37,2.03,4.53,1.4,1.0,0.0,3.7,1.18,2.4,1.38,4.27,1.05,2.6,1.45,threatening,1,amenazador
amenazar,1.87,1.48,7.13,1.78,4.83,1.63,1.0,0.0,4.13,0.97,3.07,1.53,4.1,1.03,2.67,1.42,to threaten,2,amenazar
amistad,8.33,1.54,6.17,2.45,4.73,1.75,4.77,0.43,1.03,0.18,1.43,0.86,1.3,0.6,1.03,0.18,friendship,1,amistad
amistoso,7.77,1.41,5.6,1.89,4.9,1.39,4.27,0.74,1.13,0.43,1.07,0.37,1.4,0.93,1.1,0.4,friendly,1,amistoso
amordazar,1.76,1.5,7.31,1.91,5.91,1.43,1.14,0.44,3.86,1.09,3.18,1.47,4.14,1.25,2.72,1.49,to gag,1,amordazar
amplia,5.13,1.52,3.77,1.58,2.88,1.42,2.07,1.28,1.21,0.49,1.17,0.47,1.34,0.67,1.03,0.19,broad,1,amplia
amputación,1.6,1.22,6.37,2.34,6.3,0.9,1.03,0.18,2.63,1.59,3.93,1.31,4.07,1.17,3.23,1.41,amputatation,1,amputacion
ancho,4.47,1.28,3.0,1.64,3.55,1.91,1.4,0.86,1.4,0.86,1.23,0.63,1.33,0.66,1.37,0.89,wide,3,ancho
anclar,5.03,0.85,3.67,1.84,5.05,1.55,1.55,1.09,1.17,0.47,1.48,0.83,1.34,0.72,1.14,0.58,to anchor,1,anclar
animar,8.03,0.84,7.13,1.45,4.89,1.35,4.27,0.94,1.0,0.0,1.4,0.97,1.1,0.4,1.0,0.0,to encourage,2,animar
aniquilar,1.62,1.42,7.76,1.83,5.52,1.52,1.21,0.77,4.21,0.98,3.72,1.49,4.07,1.22,3.28,1.6,to annihilate,1,aniquilar
anorexia,1.4,1.07,5.73,1.98,6.03,1.2,1.03,0.18,2.4,1.28,4.23,0.9,3.43,1.41,2.23,1.33,anorexia,1,anorexia
anotar,5.07,2.03,4.72,2.28,4.73,1.67,1.41,0.68,1.14,0.44,1.34,0.72,1.24,0.51,1.24,0.58,to write down,1,anotar
ansiedad,2.13,1.5,7.07,2.35,4.47,1.55,1.2,0.55,2.87,1.2,3.57,0.9,3.77,1.14,2.03,1.13,anxiety,1,ansiedad
anticuado,3.7,1.58,3.53,1.33,4.13,1.64,1.69,1.04,1.48,1.02,1.93,1.16,1.52,0.99,1.48,0.83,outdated,1,anticuado
antiguo,5.4,1.4,4.0,1.72,4.43,1.49,2.55,1.34,1.29,0.9,2.61,1.23,1.87,1.15,1.68,1.14,antique,3,antiguo
antipático,2.9,2.23,5.3,1.64,5.22,1.14,1.1,0.4,2.7,1.24,2.67,1.27,1.7,1.06,2.1,1.27,unpleasant,1,antipatico
apaciguado,6.14,2.18,3.66,2.97,3.72,1.95,2.64,1.19,1.18,0.48,1.32,0.61,1.29,0.66,1.0,0.0,soothed,2,apaciguado
aparato,4.27,1.46,3.7,1.68,2.75,2.09,1.57,3.8,1.33,0.8,1.27,0.64,1.5,0.97,1.27,0.64,device,1,aparato
apasionado,7.77,1.07,7.73,1.36,4.45,1.66,4.17,0.91,1.4,0.67,1.23,0.57,1.6,0.81,1.1,0.31,passionate,1,apasionado
apendicitis,1.76,1.38,6.28,2.19,6.59,0.52,1.07,0.26,1.59,0.87,2.69,1.34,3.59,1.38,2.24,1.15,appendicitis,1,apendicitis
aperitivo,6.93,1.78,5.37,2.04,5.52,1.37,3.8,1.0,1.07,0.37,1.1,0.31,1.03,0.18,1.27,0.64,appetizer,1,aperitivo
apestoso,1.8,1.52,5.23,1.94,5.09,1.46,1.03,0.18,1.63,0.93,1.47,0.94,1.67,1.06,4.67,0.61,stinky,1,apestoso
apilar,4.77,0.68,3.73,1.82,4.68,1.37,1.14,0.44,1.24,0.83,1.31,0.85,1.14,0.58,1.1,0.41,to pile up,1,apilar
aplastar,2.73,1.23,6.53,1.5,5.55,1.15,1.07,0.26,2.9,1.4,2.66,1.34,3.21,1.37,2.59,1.4,to smash,2,aplastar
aplaudir,7.4,1.22,6.87,1.68,5.63,1.52,4.2,1.03,1.13,0.43,1.13,0.43,1.2,0.55,1.13,0.43,to applaude,1,aplaudir
aplausos,7.47,1.5,7.63,1.1,5.95,1.37,4.07,1.01,1.33,0.96,1.13,0.51,1.3,0.7,1.03,0.18,applause,1,aplausos
apodar,4.63,0.96,4.1,1.69,5.22,1.39,1.83,1.0,1.59,1.18,1.55,1.09,1.28,0.75,1.17,0.47,to nickname,2,apodar
aprobar,8.33,0.76,7.27,1.41,5.6,1.32,4.77,0.43,1.1,0.4,1.07,0.37,1.73,1.05,1.07,0.37,to pass,2,aprobar
araña,2.1,1.3,7.07,2.06,6.05,1.41,1.17,0.59,2.33,1.45,1.5,0.94,3.53,1.36,3.77,1.28,spider,1,arana
armar,3.93,1.89,6.1,1.94,4.1,1.84,1.97,1.45,2.83,1.49,2.53,1.43,2.93,1.39,1.9,1.24,to assemble,1,armar
armonía,7.67,1.6,5.37,2.13,3.57,1.85,4.1,0.98,1.0,0.0,1.24,0.69,1.03,0.19,1.0,0.0,harmony,1,armonia
aroma,7.0,1.64,4.43,2.4,4.02,1.68,3.3,0.99,1.33,0.96,1.7,1.15,1.3,0.88,1.73,0.94,scent,1,aroma
arrasar,4.16,1.95,6.48,1.88,3.74,1.31,2.17,1.29,2.57,1.45,2.1,1.35,2.6,1.33,1.33,0.76,to devastate / to triumph,1,arrasar
arriesgado,5.0,1.23,7.33,1.24,4.02,1.62,2.2,1.3,1.17,0.46,1.37,0.76,3.6,1.13,1.2,0.48,risky,1,arriesgado
arrimar,5.59,1.35,6.0,1.85,4.41,1.78,1.93,1.19,1.31,0.54,1.24,0.58,1.48,0.91,1.52,0.83,to bring closer,1,arrimar
arrollar,2.45,1.15,6.33,1.63,4.3,1.6,1.24,0.51,2.59,1.3,2.41,1.21,3.24,1.06,1.62,0.98,to carry away,1,arrollar
arroz,5.4,1.79,3.93,2.12,6.4,1.39,2.07,1.14,1.0,0.0,1.17,0.46,1.07,0.37,1.23,0.63,rice,1,arroz
arruinar,2.3,2.05,5.7,2.53,4.38,1.52,1.03,0.18,3.2,1.32,4.07,1.2,3.8,1.13,2.07,1.14,to ruin,1,arruinar
artículo,5.7,1.39,4.73,1.87,4.75,1.77,2.1,1.35,1.31,0.85,1.38,0.82,1.45,0.95,1.41,0.95,article,1,articulo
artístico,7.13,1.89,5.33,2.25,3.95,1.84,3.77,0.94,1.33,0.71,1.73,1.26,1.37,0.81,1.03,0.18,artistic,3,artistico
asaltar,2.69,2.05,7.38,1.72,4.98,1.31,1.21,0.68,3.34,1.32,2.62,1.61,4.0,1.2,2.1,1.45,to rob,1,asaltar
asfixiar,1.33,0.96,6.73,2.33,6.03,0.86,1.03,0.18,3.4,1.28,3.37,1.54,4.3,1.09,2.43,1.38,to strangle,1,asfixiar
asombrar,6.17,1.66,6.87,1.55,3.93,1.55,2.93,1.23,1.27,0.83,1.3,0.6,1.8,0.89,1.13,0.43,to astonish,2,asombrar
astuto,6.67,1.58,5.77,1.82,4.65,1.67,2.67,1.35,1.6,0.97,1.27,0.64,1.7,0.99,1.3,0.65,clever,1,astuto
asustar,3.07,1.66,7.3,1.47,5.52,1.0,1.62,1.12,2.9,1.59,2.0,1.16,4.11,1.45,1.41,0.91,to scare,2,asustar
atacar,2.63,2.19,7.07,2.21,4.83,1.76,1.2,0.66,3.93,1.17,2.5,1.38,3.57,1.04,2.2,1.3,to attack,1,atacar
ataque,2.8,1.63,7.23,1.57,3.55,1.73,1.43,0.9,3.13,1.28,2.53,1.36,3.5,1.25,1.87,1.17,attack,1,ataque
atardecer,7.1,1.45,3.5,2.18,5.75,1.36,3.43,1.14,1.03,0.18,1.97,1.16,1.13,0.43,1.0,0.0,to get dark,1,atardecer
atasco,1.83,0.87,6.93,1.91,5.37,1.63,1.07,0.25,4.1,1.06,2.33,1.3,2.2,1.21,2.8,1.19,traffic jam,1,atasco
ataúd,1.97,1.96,4.37,2.75,6.33,0.99,1.03,0.18,2.8,1.56,4.33,1.18,3.73,1.28,1.87,1.25,coffin,1,ataud
atemorizar,2.2,1.45,6.43,2.18,4.9,1.17,1.1,0.4,3.03,1.38,2.9,1.35,4.23,1.01,2.37,1.38,to frighten,1,atemorizar
atender,5.63,1.67,5.2,2.27,4.38,1.21,2.37,0.96,1.23,0.57,1.33,0.61,1.37,0.61,1.33,0.76,to pay attention,1,atender
aterrar,1.83,1.23,7.33,1.6,5.2,1.83,1.1,0.4,2.8,1.24,2.7,1.29,4.57,0.86,2.37,1.25,to terrify,2,aterrar
aterrorizar,1.77,1.19,7.77,1.28,5.03,1.64,1.07,0.26,3.41,1.55,2.93,1.53,4.59,0.95,2.14,1.33,to terrorise,2,aterrorizar
atmosférico,4.57,1.1,2.9,1.71,4.4,1.95,1.5,0.82,1.1,0.4,1.53,1.07,1.57,1.07,1.13,0.43,atmospheric,3,atmosferico
atontado,3.3,1.26,4.43,1.83,4.17,1.67,1.37,0.93,2.13,1.14,2.07,1.01,1.43,0.63,1.5,0.94,scatterbrained,1,atontado
atornillar,4.77,0.68,4.07,1.95,6.2,0.83,1.14,0.44,1.17,0.6,1.1,0.56,1.1,0.31,1.0,0.0,to screw,2,atornillar
atracar,2.53,2.15,7.3,1.8,5.4,1.37,1.07,0.25,3.3,1.29,2.8,1.42,4.0,1.05,2.53,1.59,to mug,1,atracar
atractivo,7.3,1.8,6.38,1.7,3.85,1.78,3.63,1.03,1.13,0.35,1.03,0.18,1.3,0.75,1.07,0.25,attractive,1,atractivo
atravesar,4.8,1.21,5.37,1.73,3.93,1.49,2.14,1.41,1.45,0.83,1.38,0.82,1.97,1.12,1.28,0.65,to go through,1,atravesar
aturdido,2.57,1.14,4.43,2.11,4.45,1.49,1.17,0.46,1.8,1.06,2.03,1.13,2.83,1.37,1.47,0.86,stunned,1,aturdido
ausencia,3.27,1.74,4.43,2.64,3.75,1.89,1.33,0.8,2.17,1.29,4.03,1.1,2.93,1.36,1.63,1.07,absence,1,ausencia
auténtico,7.13,1.41,5.53,1.89,4.1,1.42,3.87,1.14,1.37,0.81,1.3,0.65,1.5,0.9,1.13,0.43,authentic,3,autentico
auxiliar,6.4,1.77,5.53,2.13,3.8,1.73,2.27,1.41,1.3,0.65,1.63,1.0,1.93,1.26,1.2,0.55,to aid,1,auxiliar
aventurero,7.37,1.69,7.57,1.52,4.9,1.17,3.97,1.13,1.17,0.53,1.23,0.57,2.4,1.22,1.13,0.57,adventurous,3,aventurero
aversivo,1.93,1.41,6.93,2.0,5.07,1.51,1.25,0.84,3.18,1.25,2.82,1.31,3.36,1.37,3.71,1.38,aversive,1,aversivo
avispado,6.8,1.45,7.27,1.64,5.13,1.28,2.77,1.17,1.53,1.01,1.27,0.64,1.57,0.82,1.17,0.46,sharp / bright,1,avispado
azulejo,4.73,1.2,3.47,1.91,6.1,1.14,1.4,0.67,1.2,0.76,1.13,0.35,1.0,0.0,1.27,0.69,tile,1,azulejo
átomo,4.57,1.76,3.57,2.24,5.67,1.6,1.5,0.94,1.47,0.9,1.37,0.85,1.63,1.07,1.3,0.75,atom,1,atomo
babosa,2.93,1.53,5.0,1.7,6.05,1.43,1.28,0.59,1.21,0.68,1.28,0.59,1.9,1.14,4.07,1.14,slug,1,babosa
bailar,7.5,1.68,6.83,2.39,5.9,1.06,4.13,0.94,1.17,0.46,1.13,0.35,1.3,0.65,1.07,0.25,to dance,1,bailar
