palabra,familiaridad_m,familiaridad_sd,dominancia_m,dominancia_sd,edad_de_adquisicion_m,edad_de_adquisicion_sd,experiencia_sensorial_m,experiencia_sensorial_sd,word,categoria_palabra,palabra_noaccents
abandono,3.84,1.79,4.31,2.58,6.73,2.07,3.67,1.73,abandonment,1,abandono
abatir,2.86,1.49,5.31,2.36,10.1,1.47,3.6,1.71,to knock down,1,abatir
abierto,5.27,1.49,4.13,2.28,3.33,1.83,3.23,2.03,open,3,abierto
abismo,3.55,1.56,6.43,2.5,9.17,2.17,4.64,1.92,abyss,1,abismo
abrazar,5.97,1.19,5.31,2.62,3.4,3.25,5.83,1.42,to hug,1,abrazar
abrazo,6.09,1.06,6.25,2.57,2.73,1.46,5.4,1.57,hug,1,abrazo
abroncar,2.4,1.58,4.35,2.21,8.74,2.78,3.42,1.84,to get angry,2,abroncar
abuso,4.53,1.92,6.67,2.55,7.48,2.74,4.25,1.67,abuse,1,abuso
acariciar,5.2,1.39,5.33,2.62,3.93,1.82,5.4,1.63,to caress,1,acariciar
acatar,3.87,1.46,5.1,2.7,9.15,2.58,3.41,2.08,to comply with,1,acatar
aceptación,4.58,1.64,5.77,1.63,7.23,2.9,4.2,1.65,acceptance,1,aceptacion
acera,5.15,1.18,3.28,1.92,4.93,3.1,2.2,1.61,sidewalk,1,acera
aclamar,3.91,1.53,5.13,2.34,9.72,1.85,2.83,1.69,to acclaim,2,aclamar
acné,4.55,1.92,3.4,2.27,9.77,1.95,4.31,1.86,acne,1,acne
acogedora,4.43,1.24,5.83,1.78,8.62,2.43,4.36,1.81,cozy,1,acogedora
acosar,4.17,1.44,6.0,2.48,9.8,2.16,5.1,2.41,harass,1,acosar
actuar,4.89,1.62,4.81,2.24,6.5,2.1,3.4,1.96,to act,2,actuar
acuarela,3.86,1.54,3.31,1.91,4.77,2.81,4.03,1.77,watercolor,1,acuarela
acuático,4.31,1.5,3.94,1.79,6.43,2.39,4.27,1.98,aquatic,3,acuatico
acuchillar,2.9,1.91,6.13,2.53,8.43,1.77,5.3,2.02,to stab,1,acuchillar
acusar,4.7,1.64,5.97,2.11,6.33,2.04,3.91,1.94,to accuse,1,acusar
