palabra,valencia_m,valencia_sd,activacion_m,activacion_sd,categoria_palabra,palabra_noaccents
abandono,2.03,1.11,6.68,1.9,1,abandono
abismo,3.1,1.48,6.69,1.68,1,abismo
abuelo,7.44,1.51,4.01,2.34,1,abuelo
abuso,1.72,1.31,7.41,1.9,1,abuso
acontecimiento,6.01,1.26,5.02,2.17,1,acontecimiento
actor,6.11,1.18,3.91,1.89,1,actor
actualidad,5.69,1.49,4.42,1.93,1,actualidad
ademán,5.03,0.84,3.89,1.92,1,ademan
advertencia,3.94,1.19,5.56,1.95,1,advertencia
afición,6.69,1.4,4.93,1.93,1,aficion
agencia,5.0,0.89,3.24,1.98,1,agencia
aglomeración,3.42,1.22,6.17,2.06,1,aglomeracion
agrupación,5.89,1.29,4.16,2.07,1,agrupacion
aire,6.83,1.34,3.03,1.85,1,aire
analogía,5.02,0.7,3.22,1.71,1,analogia
antecedente,4.39,0.93,4.26,1.95,1,antecedente
aparato,5.11,0.68,3.23,1.72,1,aparato
aparición,4.6,1.54,5.71,1.98,1,aparicion
apariencia,4.46,1.43,4.3,1.88,1,apariencia
apetencia,5.79,1.62,5.0,1.85,1,apetencia
arena,6.39,1.47,3.57,2.03,1,arena
aristocracia,3.88,1.44,3.97,2.08,1,aristocracia
aroma,7.17,1.01,3.76,2.17,1,aroma
arreglo,5.93,1.5,3.92,1.94,1,arreglo
arroz,5.43,1.07,3.37,2.0,1,arroz
artículo,5.26,0.91,3.36,1.7,1,articulo
asistencia,5.68,1.31,4.13,1.89,1,asistencia
ataque,3.17,1.87,6.03,2.35,1,ataque
átomo,5.01,0.81,3.42,1.89,1,atomo
atributo,5.62,1.22,3.8,1.73,1,atributo
ausencia,2.5,1.15,6.03,1.93,1,ausencia
automóvil,6.1,1.32,4.87,2.0,1,automovil
aventura,7.42,1.13,6.56,1.9,1,aventura
avión,6.17,1.4,5.76,2.29,1,avion
aviso,4.82,1.15,4.68,2.3,1,aviso
azar,5.46,1.09,4.44,2.05,1,azar
azulejo,5.0,0.78,2.96,1.91,1,azulejo
balanza,5.07,0.9,3.3,1.81,1,balanza
banco,5.18,1.28,3.73,2.05,1,banco
banda,5.2,1.4,4.38,2.1,1,banda
biblioteca,5.26,1.54,3.63,2.04,1,biblioteca
boceto,5.54,1.18,3.57,1.73,1,boceto
bola,5.26,1.02,3.64,1.72,1,bola
bomba,1.72,1.43,7.88,1.54,1,bomba
borde,3.91,1.29,4.68,2.2,1,borde
brazo,5.21,0.97,3.14,1.81,1,brazo
broma,6.69,1.54,5.27,1.98,1,broma
café,5.98,2.01,4.82,2.44,1,cafe
calavera,3.06,1.42,5.58,2.04,1,calavera
calma,7.36,1.41,2.09,1.47,1,calma
calor,6.51,1.6,4.44,2.09,1,calor
camarada,6.4,1.59,3.91,1.99,1,camarada
camisa,5.3,1.05,3.19,1.97,1,camisa
campeón,6.97,1.32,5.54,2.15,1,campeon
campo,6.88,1.38,3.22,1.8,1,campo
canal,5.17,0.74,3.11,1.81,1,canal
cantidad,5.44,0.9,3.37,1.83,1,cantidad
capa,5.1,1.41,3.14,1.95,1,capa
capilla,5.12,1.55,3.07,1.84,1,capilla
capricho,5.06,1.75,4.54,1.91,1,capricho
carcajada,7.87,1.16,5.84,2.37,1,carcajada
carmín,5.47,1.18,3.76,2.12,1,carmin
casino,5.24,1.24,4.08,2.24,1,casino
casualidad,5.89,1.29,4.6,2.08,1,casualidad
catástrofe,1.69,1.01,7.63,1.49,1,catastrofe
cauce,5.44,1.13,3.34,1.52,1,cauce
celda,2.14,1.3,6.87,1.96,1,celda
celo,4.39,1.58,4.67,2.16,1,celo
ceniza,3.87,1.42,4.21,2.1,1,ceniza
centuria,4.72,1.12,3.22,2.07,1,centuria
cera,4.72,1.19,4.11,2.05,1,cera
cercanía,6.38,1.28,3.69,1.94,1,cercania
charca,5.03,1.15,3.34,1.75,1,charca
chófer,4.91,0.89,2.82,1.75,1,chofer
cima,6.16,1.6,4.79,2.16,1,cima
cintura,5.42,1.13,3.86,2.11,1,cintura
clase,5.04,1.17,4.1,2.08,1,clase
clínica,4.2,1.81,5.47,2.14,1,clinica
club,5.78,1.42,4.27,1.87,1,club
coacción,2.63,1.18,6.2,2.06,1,coaccion
código,4.82,0.86,3.11,1.88,1,codigo
colina,6.04,1.31,3.24,1.66,1,colina
colonia,6.68,1.36,4.39,2.06,1,colonia
comarca,5.3,1.18,3.37,1.89,1,comarca
combinación,5.28,0.97,3.8,1.77,1,combinacion
comienzo,5.89,1.34,5.03,2.0,1,comienzo
compañía,7.48,1.19,4.48,2.17,1,compania
composición,5.76,1.14,3.43,1.87,1,composicion
concepción,5.61,1.3,4.37,1.94,1,concepcion
conciencia,6.38,1.31,3.92,1.88,1,conciencia
concurso,6.34,1.23,5.26,2.11,1,concurso
conducto,4.91,0.76,3.04,1.78,1,conducto
congreso,4.96,1.39,3.86,2.06,1,congreso
conquista,5.61,1.9,5.16,1.98,1,conquista
consecuencia,4.46,1.26,5.21,2.11,1,consecuencia
conservación,5.91,1.24,3.58,1.64,1,conservacion
conservador,3.86,1.55,4.3,2.11,1,conservador
consideración,6.37,1.28,3.86,1.8,1,consideracion
consigna,5.08,1.01,4.23,1.87,1,consigna
consulta,4.72,1.32,5.01,1.96,1,consulta
contestación,4.97,1.39,5.08,1.93,1,contestacion
continuidad,5.6,1.23,3.82,1.73,1,continuidad
contrario,3.99,1.09,5.01,2.03,1,contrario
cordura,6.23,1.34,3.98,1.91,1,cordura
corrección,4.98,1.25,4.64,1.98,1,correccion
corte,3.32,1.21,5.38,2.06,1,corte
cruz,4.41,1.53,4.24,1.93,1,cruz
cualidad,6.28,1.33,3.91,1.88,1,cualidad
cuervo,4.23,1.51,4.66,2.3,1,cuervo
cueva,5.22,1.81,5.24,2.08,1,cueva
cura,4.67,1.78,3.64,2.15,1,cura
curso,4.99,1.47,5.08,2.28,1,curso
danza,6.92,1.36,5.2,2.31,1,danza
década,5.09,1.13,3.67,1.93,1,decada
declaración,5.29,1.46,5.12,2.27,1,declaracion
decoro,5.13,1.26,3.18,1.8,1,decoro
decreto,4.63,0.91,3.61,1.94,1,decreto
deleite,7.14,1.17,3.91,2.15,1,deleite
democracia,6.88,1.59,4.52,1.99,1,democracia
demora,3.36,1.16,5.64,1.93,1,demora
depresión,1.59,0.89,6.8,2.21,1,depresion
derecha,4.26,1.4,3.46,2.37,1,derecha
desarrollo,5.7,1.4,3.86,1.83,1,desarrollo
despacho,5.01,1.32,4.14,2.07,1,despacho
desprecio,2.1,1.37,6.83,1.95,1,desprecio
desviación,4.5,1.05,4.03,1.97,1,desviacion
detención,3.43,1.57,5.78,1.88,1,detencion
diccionario,5.31,0.92,3.38,1.76,1,diccionario
dictadura,1.82,1.45,7.22,1.68,1,dictadura
dictamen,3.87,1.23,4.51,2.19,1,dictamen
dificultad,3.18,1.29,6.16,1.68,1,dificultad
diputación,4.68,0.91,3.1,1.99,1,diputacion
disertación,4.37,1.21,3.77,1.98,1,disertacion
disputa,2.51,1.09,6.78,1.68,1,disputa
distancia,3.3,1.43,5.32,2.27,1,distancia
distrito,4.92,0.72,2.84,1.79,1,distrito
divorcio,2.76,1.72,5.91,2.42,1,divorcio
dogma,4.58,1.24,4.0,2.04,1,dogma
dominio,3.68,1.69,5.29,2.21,1,dominio
edición,5.0,1.01,3.14,1.72,1,edicion
ejemplo,5.44,1.02,3.4,1.64,1,ejemplo
ejército,3.39,1.71,5.76,2.19,1,ejercito
electricidad,5.36,1.64,4.88,1.98,1,electricidad
embajada,4.9,1.28,3.54,1.94,1,embajada
empleo,6.41,1.43,5.29,1.98,1,empleo
encanto,7.3,1.02,4.08,2.1,1,encanto
encargo,5.0,1.04,4.27,2.12,1,encargo
energía,7.01,1.15,5.72,2.26,1,energia
enlace,6.16,1.54,4.83,2.19,1,enlace
enmienda,4.98,1.17,3.67,1.96,1,enmienda
enojo,2.69,1.14,6.49,1.84,1,enojo
ensayo,5.37,1.25,4.26,1.92,1,ensayo
entendimiento,6.77,1.29,3.84,1.79,1,entendimiento
entrega,6.23,1.23,4.61,2.03,1,entrega
escalera,4.83,0.99,3.48,1.96,1,escalera
escaparate,5.91,1.02,3.72,1.78,1,escaparate
escena,5.22,1.28,4.01,2.0,1,escena
escondite,6.31,1.41,4.68,2.07,1,escondite
escopeta,2.89,1.18,6.11,1.89,1,escopeta
espectro,3.51,1.52,5.82,2.45,1,espectro
espuma,6.42,1.45,3.34,2.02,1,espuma
estabilidad,7.03,1.28,3.3,2.0,1,estabilidad
esterilidad,2.63,1.32,5.63,2.22,1,esterilidad
estudio,4.87,1.62,5.26,2.07,1,estudio
evocación,5.61,1.11,4.08,1.72,1,evocacion
exigencia,3.6,1.53,6.04,1.97,1,exigencia
existencia,6.53,1.35,4.57,2.05,1,existencia
expedición,6.22,1.33,5.39,1.98,1,expedicion
explosión,2.16,1.33,7.26,2.04,1,explosion
expresión,5.94,1.1,4.21,2.01,1,expresion
extrañeza,4.01,1.29,4.98,1.84,1,extraneza
fábrica,4.98,1.19,3.12,1.9,1,fabrica
fábula,6.24,1.34,3.62,1.91,1,fabula
familia,7.64,1.41,4.21,2.3,1,familia
fantasma,3.52,1.65,6.29,1.89,1,fantasma
farsa,2.64,1.11,6.04,1.79,1,farsa
favor,6.39,1.17,4.44,1.8,1,favor
faz,5.26,0.98,3.58,1.84,1,faz
ferrocarril,5.12,1.17,3.87,1.92,1,ferrocarril
fervor,5.49,1.27,5.26,2.07,1,fervor
fiel,7.46,1.38,3.8,2.26,1,fiel
flora,6.38,1.3,3.1,1.71,1,flora
flota,5.11,0.94,3.62,1.96,1,flota
forma,5.2,0.75,3.63,1.88,1,forma
formación,6.27,1.44,4.24,1.98,1,formacion
fortaleza,6.41,1.49,4.68,1.94,1,fortaleza
frase,4.98,0.96,3.23,1.82,1,frase
fraternidad,6.83,1.38,3.9,1.88,1,fraternidad
