palabra,AoA_obj_months,palabra_noaccents
abeja,37.45,abeja
abrazo,34.2,abrazo
acuarelas,140.8,acuarelas
águila,52.55,aguila
aguja,61.85,aguja
almohada,43.75,almohada
ambulancia,43.3,ambulancia
ángel,61.85,angel
anillo,43.75,anillo
aplausos,46.1,aplausos
araña,34.2,arana
arcoíris,37.7,arcoiris
ardilla,37.45,ardilla
arroz,52.55,arroz
ataúd,134.55,ataud
avestruz,82.5,avestruz
avión,34.2,avion
babosa,57.55,babosa
bala,85.4,bala
ballena,34.2,ballena
bañera,34.2,banera
barba,46.1,barba
barco,34.2,barco
bastón,65.45,baston
bebé,34.2,bebe
bicicleta,34.2,bicicleta
bikini,75.85,bikini
billete,57.55,billete
bomba,52.55,bomba
bombero,40.95,bombero
bota,40.95,bota
botón,40.95,boton
boxeador,82.5,boxeador
brújula,82.5,brujula
caballero,133.95,caballero
caballo,34.2,caballo
calavera,70.1,calavera
calcetín,37.45,calcetin
calculadora,79.15,calculadora
cama,34.2,cama
camaleón,65.45,camaleon
camiseta,34.2,camiseta
cangrejo,40.95,cangrejo
canguro,40.95,canguro
cañón,79.2,canon
caracol,34.2,caracol
cebra,46.1,cebra
cerilla,82.5,cerilla
chaqueta,34.2,chaqueta
chimenea,52.55,chimenea
chincheta,52.55,chincheta
ciego,65.45,ciego
científico,65.45,cientifico
ciervo,65.45,ciervo
cigüeña,65.45,ciguena
circo,40.95,circo
cisne,65.45,cisne
clavel,146.6,clavel
coche,34.2,coche
columpio,34.2,columpio
cometa,40.95,cometa
conejo,34.2,conejo
corbata,52.55,corbata
cucaracha,65.45,cucaracha
cuchara,34.2,cuchara
cuchillo,34.2,cuchillo
delfín,40.95,delfin
dentista,46.1,dentista
destornillador,82.5,destornillador
diablo,68.0,diablo
diamante,57.55,diamante
ducha,46.1,ducha
erizo,57.55,erizo
escalera,34.2,escalera
escoba,46.1,escoba
escopeta,79.2,escopeta
escorpión,72.95,escorpion
espada,52.55,espada
fantasma,37.45,fantasma
ferrocarril,134.55,ferrocarril
flecha,49.45,flecha
foca,40.95,foca
fregona,49.45,fregona
gacela,151.8,gacela
gafas,34.2,gafas
gallina,34.2,gallina
gato,34.2,gato
globo,34.2,globo
góndola,175.2,gondola
gorila,40.95,gorila
gorra,40.95,gorra
grapadora,65.45,grapadora
guadaña,162.6,guadana
guantes,34.2,guantes
guillotina,162.6,guillotina
gusano,40.95,gusano
hacha,79.2,hacha
hamburguesa,37.45,hamburguesa
helado,37.45,helado
hormiga,40.95,hormiga
hospital,46.1,hospital
iglesia,65.45,iglesia
impresora,65.45,impresora
jabón,37.45,jabon
jeringuilla,94.4,jeringuilla
koala,65.45,koala
ladrón,52.55,ladron
lanza,94.4,lanza
lápiz,40.95,lapiz
libro,37.45,libro
loro,43.75,loro
luna,34.2,luna
maceta,52.55,maceta
mago,43.75,mago
mano,34.2,mano
mariposa,34.2,mariposa
mecánico,115.75,mecanico
mechero,67.55,mechero
medalla,57.55,medalla
medusa,46.1,medusa
mendigo,151.8,mendigo
metralleta,70.1,metralleta
metro,122.0,metro
mochila,34.2,mochila
mofeta,65.45,mofeta
moneda,43.75,moneda
monja,88.35,monja
mono,34.2,mono
monstruo,34.2,monstruo
montaña,37.45,montana
morsa,127.9,morsa
mosca,40.95,mosca
mosquito,40.95,mosquito
motosierra,121.45,motosierra
muleta,67.55,muleta
muñeca,34.2,muneca
murciélago,43.75,murcielago
nariz,37.45,nariz
nubes,34.2,nubes
nudo,46.1,nudo
oruga,43.75,oruga
oveja,34.2,oveja
paella,75.85,paella
paloma,46.1,paloma
parchís,65.45,parchis
pavo,57.55,pavo
payaso,37.45,payaso
pedo,46.1,pedo
peine,34.2,peine
peluche,37.45,peluche
peonza,65.45,peonza
piano,40.95,piano
pie,37.45,pie
pingüino,34.2,pinguino
piscina,37.45,piscina
pistola,40.95,pistola
pizza,40.95,pizza
plancha,46.1,plancha
plumero,115.75,plumero
radio,49.45,radio
regalo,34.2,regalo
rifle,162.6,rifle
rinoceronte,65.45,rinoceronte
rosa,52.55,rosa
rueda,34.2,rueda
sacapuntas,52.55,sacapuntas
sierra,65.45,sierra
sofá,43.3,sofa
soga,168.8,soga
soldado,115.75,soldado
sonajero,133.95,sonajero
submarinista,135.55,submarinista
taladro,140.8,taladro
tanque,121.45,tanque
tarta,34.2,tarta
tecla,65.45,tecla
teléfono,34.2,telefono
tiburón,37.45,tiburon
timbre,54.7,timbre
tirita,37.45,tirita
tobogán,34.2,tobogan
torero,65.45,torero
tornado,79.2,tornado
tornillo,40.95,tornillo
toro,54.7,toro
tortuga,34.2,tortuga
trípode,162.6,tripode
tubería,46.1,tuberia
tucán,127.7,tucan
tuerca,65.45,tuerca
tumba,65.45,tumba
tumbona,134.55,tumbona
vampiro,52.55,vampiro
vaso,37.45,vaso
váter,34.2,vater
velas,40.95,velas
velero,75.85,velero
veneno,109.0,veneno
vestido,46.1,vestido
violín,52.55,violin
volcán,55.4,volcan
