palabra,edad_de_adquisicion_m,edad_de_adquisicion_sd,categoria_palabra,palabra_noaccents
al,4.26,2.456,4,al
as,8.32,2.394,2,as
be,3.96,2.74,2,be
ce,4.58,2.872,2,ce
da,3.28,1.99,1,da
de,4.16,2.972,4,de
di,4.56,2.269,1,di
el,3.18,1.734,4,el
él,2.96,1.749,4,el
en,3.92,2.266,4,en
es,3.18,1.699,1,es
et,6.88,1.814,2,et
ex,8.48,2.073,2,ex
fe,7.38,2.32,2,fe
ge,4.6,3.201,2,ge
ha,5.98,2.403,1,ha
he,6.37,2.316,1,he
in,8.2,2.07,2,in
ir,4.2,1.938,1,ir
la,3.14,1.948,4,la
le,4.76,2.479,4,le
lo,4.24,2.818,4,lo
me,3.42,2.295,4,me
mi,3.12,2.173,4,mi
mí,3.38,2.108,4,mi
ni,5.02,1.985,4,ni
no,1.86,1.05,4,no
os,6.6,2.68,4,os
pa,2.02,1.545,2,pa
pe,3.51,2.501,2,pe
se,4.72,2.408,4,se
sé,4.7,2.234,1,se
si,1.64,0.921,4,si
sí,1.98,1.317,4,si
su,4.2,2.129,4,su
te,4.12,2.125,4,te
té,6.56,2.5,2,te
tu,2.96,1.873,4,tu
un,3.0,2.05,4,un
va,3.88,1.955,1,va
ve,4.62,2.423,1,ve
vi,3.94,2.41,1,vi
wc,7.4,3.11,4,wc
ya,3.36,2.354,4,ya
yo,2.54,1.929,4,yo
acá,5.84,2.951,4,aca
ahí,3.14,2.1,4,ahi
ajo,4.82,1.837,2,ajo
amo,6.7,2.72,1,amo
ana,3.76,1.559,2,ana
ano,8.5,1.972,2,ano
año,3.5,2.003,2,ano
aro,4.86,1.938,2,aro
asa,7.08,2.156,2,asa
así,4.8,2.304,4,asi
ave,5.02,1.857,2,ave
bar,4.52,2.063,2,bar
boa,8.6,2.241,2,boa
bus,6.14,2.399,2,bus
cae,4.08,2.039,1,cae
can,8.48,2.636,2,can
col,6.1,2.35,2,col
con,3.78,2.427,4,con
dan,4.88,1.902,1,dan
dar,3.0,1.829,1,dar
das,3.88,1.803,1,das
del,4.68,2.217,4,del
den,5.22,2.582,1,den
día,3.62,1.576,2,dia
dni,8.9,1.81,2,dni
don,6.24,2.654,2,don
dos,2.24,1.098,4,dos
doy,4.06,1.583,1,doy
dúo,8.1,1.982,2,duo
eco,5.44,1.752,2,eco
efe,5.2,2.755,2,efe
eme,4.1,2.384,2,eme
ene,5.31,2.443,2,ene
era,8.0,2.399,1,era
esa,4.24,2.361,4,esa
ésa,3.82,2.537,4,esa
ese,3.8,2.695,4,ese
ése,4.04,2.204,4,ese
eso,3.22,1.941,4,eso
