name,label,ref,url,public,rows
guasch_2016,Guasch 2016,"Guasch, M., Ferré, P., & Fraga, I. (2016). Spanish norms for affective and lexico-semantic variables for 1,400 words. Behavior Research Methods, 48, 1358–1369",https://doi.org/10.3758/s13428-015-0684-y,1,1400
ferre_2017,Ferré 2017,"Ferré, P., Guasch, M., Martínez-García, N., Fraga, I., & Hinojosa, J. A. (2017). Moved by words: Affective ratings for a set of 2,266 Spanish words in five discrete emotion categories. Behavior Research Methods, 49, 1082-1094",http://dx.doi.org/10.3758/s13428-016-0768-3,1,2266
redondo_2005,Redondo 2005,"Redondo, J., Fraga, I., Comesaña, M., & Perea, M. (2005). Estudio normativo del valor afectivo de 478 palabras españolas. Psicológica, 26, 317–326.",http://www.redalyc.org/articulo.oa?id=16926207,1,478
moreno_martinez_2014,Moreno-Martínez 2014,"Moreno-Martínez, F. J., Montoro, P. R., & Rodríguez-Rojo, I. C. (2014). Spanish norms for age of acquisition, concept familiarity, lexical frequency, manipulability, typicality, and other variables for 820 words from 14 living/nonliving concepts. Behavior Research Methods, 46, 1088–1097",https://doi.org/10.3758/s13428-013-0435-x,0,820
gonzalez_nosti_2014,González-Nosti 2014,"González-Nosti, M., Barbón, A., Rodríguez-Ferreiro, J., & Cuetos, F. (2014). Effects of the psycholinguistic variables on the lexical decision task in Spanish: A study with 2,765 words. Behavior Research Methods, 46, 517–525.",https://doi.org/10.3758/s13428-013-0383-5,1,2765
alonso_2015,Alonso 2015,"Alonso, M. A., Fernandez, A., & Díez, E. (2015). Subjective age-of-acquisition norms for 7,039 Spanish words. Behavior Research Methods, 47, 268–274.",http://dx.doi.org/10.3758/s13428-014-0454-2,1,7035
stadthagen_gonzalez_2017,Stadthagen-Gonzalez 2017,"Stadthagen-Gonzalez, H., Imbault, C., Pérez Sánchez, M. A., & Brysbaert, M. (2017). Norms of valence and arousal for 14,031 Spanish words. Behavior Research Methods, 49, 111-123",https://doi.org/10.3758/s13428-015-0700-2,1,14031
ferre_2012,Ferré 2012,"Ferré, P., Guasch, M., Moldovan, C., & Sánchez-Casas, R. (2012). Affective norms for 380 Spanish words belonging to three different semantic categories.Behavior Research Methods, 44, 395–403.",https://doi.org/10.3758/s13428-011-0165-x,1,380
redondo_2007,Redondo 2007,"Redondo, J., Fraga, I., Padrón, I., & Comesaña, M. (2007). The Spanish adaptation of ANEW (Affective Norms for English Words). Behavior Research Methods, 39, 600–605.",https://doi.org/10.3758/BF03193031,1,1034
stadthagen_gonzalez_2017b,Stadthagen-Gonzalez 2017b,-,-,0,10491
hinojosa_2016a,Hinojosa 2016a,"Hinojosa, J. A., Martínez-García, N., Villalba-García, C., Fernández-Folgueiras, U., Sánchez-Carmona, A., Pozo, M. A., & Montoro, P. R. (2016). Affective norms of 875 Spanish words for five discrete emotional categories and two emotional dimensions. Behavior Research Methods, 48, 272–284.",http://doi.org/10.3758/s13428-015-0572-5,1,875
hinojosa_2016b,Hinojosa 2016b,"Hinojosa, J. A., Rincón-Pérez, I., Romero-Ferreiro, M. V., Martínez-García, N., Villalba-García, C., Montoro, P. R., & Pozo, M. A. (2016). The Madrid Affective Database for Spanish (MADS): Ratings of Dominance, Familiarity, Subjective Age of Acquisition and Sensory Experience. PLoS ONE, 11(5): e0155866",https://doi.org/10.1371/journal.pone.0155866,1,875
hinojosa_2024,Hinojosa 2024,"Hinojosa, J. A., Guasch, M., Montoro, P. R., Albert, J., Fraga, I., & Ferré, P. (2024). The bright side of words: Norms for 9000 Spanish words in seven discrete positive emotions. Behavior Research Methods, 56(5), 4909-4929.",https://doi.org/10.3758/s13428-023-02229-8,1,4095
