palabra,word,alegria_m,alegria_sd,ira_m,ira_sd,tristeza_m,tristeza_sd,miedo_m,miedo_sd,asco_m,asco_sd,categoria_palabra,palabra_noaccents
abandonado,derelict,1.03,0.18,2.83,1.46,4.3,0.84,3.33,1.52,1.77,1.19,1,abandonado
abanico,fan,2.67,1.32,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1,abanico
abeja,bee,1.47,0.86,1.97,1.16,1.47,0.97,3.53,1.36,2.07,1.2,1,abeja
abejas,bees,1.37,0.76,2.0,1.2,1.17,0.46,3.47,1.14,2.2,1.37,1,abejas
abejorro,bumblebee,1.14,0.58,1.59,1.09,1.14,0.44,3.48,1.35,2.1,1.47,1,abejorro
abnegación,abnegation,1.44,0.89,1.69,1.01,2.0,1.1,1.94,1.24,1.31,0.6,1,abnegacion
abogada,lawyer,1.57,0.94,1.93,1.23,1.37,0.89,2.03,1.22,1.5,0.94,1,abogada
abogado,lawyer,1.83,1.05,1.73,1.01,1.4,0.77,1.6,0.89,1.53,0.78,1,abogado
aborto,abortion,1.67,1.06,1.87,1.11,3.5,1.5,2.9,1.56,1.7,1.21,1,aborto
abrasador,scorching,1.37,0.76,1.77,1.25,1.53,0.94,2.17,1.15,1.5,1.01,1,abrasador
abrigo,coat,2.5,1.17,1.03,0.18,1.53,0.86,1.07,0.25,1.13,0.43,1,abrigo
abrumado,overwhelmed,1.5,0.97,2.27,1.41,2.67,1.45,2.5,1.25,1.27,0.78,1,abrumado
abstinente,abstinent,1.48,0.75,1.67,1.14,1.89,1.19,1.7,1.14,1.48,1.12,3,abstinente
absurdo,absurd,1.63,1.07,2.17,1.34,1.83,1.09,1.57,0.9,1.23,0.57,1,absurdo
abuela,grandmother,4.33,0.96,1.13,0.43,2.3,1.32,1.67,1.21,1.1,0.55,1,abuela
abuelo,grandfather,4.6,0.72,1.07,0.25,2.6,1.43,1.2,0.48,1.1,0.55,1,abuelo
abundancia,abundance,3.67,1.12,1.2,0.48,1.37,0.76,1.73,1.08,1.2,0.55,1,abundancia
aburrido,bored,1.03,0.18,1.4,0.77,2.9,1.49,1.17,0.53,1.33,0.88,3,aburrido
accidente,accident,1.03,0.18,3.13,1.17,4.17,0.87,3.83,1.21,1.8,1.0,1,accidente
acción,action,2.8,1.13,1.73,1.01,1.57,0.97,2.27,1.11,1.4,0.72,1,accion
acelerador,accelerator,1.9,1.16,1.37,0.72,1.23,0.5,1.9,0.92,1.07,0.25,1,acelerador
acento,accent,2.67,1.54,1.47,0.86,1.27,0.64,1.27,0.64,1.27,0.64,1,acento
acidez,acidity,1.17,0.59,1.63,1.03,1.57,0.82,1.53,0.82,2.77,1.14,1,acidez
ácido,sour,1.17,0.53,1.83,1.23,1.63,1.07,2.47,1.48,2.2,1.24,1,acido
acierto,success,4.07,0.94,1.1,0.4,1.03,0.18,1.17,0.59,1.03,0.18,1,acierto
acogedor,cozy,4.07,0.94,1.1,0.4,1.2,0.55,1.13,0.43,1.1,0.4,1,acogedor
acontecimiento,event,2.5,1.04,1.37,0.72,1.57,0.9,1.63,0.81,1.2,0.61,1,acontecimiento
acoso,harassment,1.13,0.51,3.9,1.3,3.7,1.47,3.93,1.34,4.07,1.08,1,acoso
acre,pungent,1.0,0.0,1.25,0.62,1.25,0.45,1.17,0.58,1.42,1.0,1,acre
activar,activate,2.53,1.17,1.33,0.61,1.13,0.35,1.4,0.77,1.1,0.31,1,activar
acto,event,2.03,1.16,1.27,0.69,1.17,0.46,1.43,0.82,1.13,0.51,1,acto
actriz,actress,2.53,1.14,1.23,0.68,1.37,0.72,1.1,0.4,1.27,0.69,1,actriz
acuerdo,agreement,3.3,1.06,1.1,0.31,1.0,0.0,1.47,0.73,1.1,0.31,1,acuerdo
acurrucarse,snuggle,3.9,1.3,1.07,0.25,1.83,1.18,1.6,1.22,1.07,0.25,2,acurrucarse
ademán,gesture,1.45,0.96,1.68,1.04,1.36,0.79,2.0,1.2,1.36,0.73,1,ademan
adicción,addiction,1.1,0.31,2.5,1.41,3.23,1.17,3.57,1.43,2.9,1.32,1,adiccion
adicto,addict,1.3,0.6,2.33,1.3,3.6,1.22,2.97,1.35,2.23,1.5,1,adicto
adinerado,wealthy,3.0,1.23,1.87,1.25,1.4,0.77,1.4,0.77,1.73,1.08,3,adinerado
adiós,bye-bye,1.33,0.71,2.33,1.3,4.17,0.91,3.67,1.35,1.43,0.94,1,adios
admiración,admiration,3.67,1.12,1.3,0.79,1.37,0.72,1.43,0.73,1.2,0.61,1,admiracion
admirado,admired,3.77,0.97,1.23,0.57,1.3,0.75,1.57,0.86,1.27,0.52,1,admirado
adolescente,teenager,2.83,1.23,1.83,1.18,1.97,1.1,1.7,1.06,1.4,0.72,1,adolescente
adopción,adoption,3.53,1.38,1.17,0.46,1.77,1.01,1.77,0.77,1.03,0.18,1,adopcion
adorable,adorable,4.43,0.68,1.03,0.18,1.03,0.18,1.03,0.18,1.03,0.18,1,adorable
adoración,worship,2.97,1.33,1.6,1.1,1.5,0.9,1.6,0.97,1.43,0.86,1,adoracion
adulto,adult,2.11,1.2,1.57,1.0,1.89,1.29,2.04,1.23,1.36,0.83,1,adulto
adversario,adversary,2.03,1.22,2.5,1.38,1.77,1.1,2.63,1.13,1.9,1.06,1,adversario
aeropuerto,airport,3.27,0.98,1.13,0.35,2.2,1.37,1.7,0.95,1.17,0.38,1,aeropuerto
afectar,impair,1.33,0.71,1.57,0.97,3.0,1.08,2.2,1.32,1.1,0.4,2,afectar
afecto,affection,4.37,0.81,1.2,0.61,1.5,0.94,1.43,0.94,1.03,0.18,1,afecto
afianzar,secure,1.9,1.35,1.17,0.47,1.31,0.66,1.52,1.02,1.14,0.58,2,afianzar
afligido,distressed,1.1,0.41,1.97,1.02,4.1,0.94,2.55,1.3,1.48,0.87,1,afligido
afortunado,lucky,4.1,0.99,1.33,0.8,1.13,0.43,1.07,0.25,1.07,0.25,1,afortunado
agente,agent,1.43,0.73,1.87,1.14,1.37,0.72,2.07,1.11,1.77,1.25,1,agente
agilidad,agility,3.07,1.2,1.1,0.4,1.13,0.57,1.13,0.43,1.03,0.18,1,agilidad
agobiado,burdened,1.07,0.25,2.77,1.19,2.57,1.36,2.3,1.32,1.57,1.01,1,agobiado
agonía,agony,1.07,0.25,2.2,1.3,3.6,1.22,3.07,1.44,2.03,1.19,1,agonia
agradecido,grateful,4.3,0.84,1.03,0.18,1.1,0.4,1.07,0.25,1.03,0.18,1,agradecido
agresión,assault,1.1,0.31,4.31,1.04,3.48,1.38,3.93,1.13,3.41,1.55,1,agresion
agresividad,aggressiveness,1.3,0.84,4.4,0.86,3.43,1.48,3.87,1.14,3.2,1.58,1,agresividad
agresivo,aggressive,1.23,0.57,3.9,1.3,2.87,1.41,3.4,1.5,2.23,1.57,3,agresivo
agricultor,farmer,2.17,1.23,1.2,0.66,1.5,0.86,1.3,0.79,1.2,0.55,1,agricultor
aguanieve,slush,2.27,1.28,1.03,0.18,1.3,0.7,1.1,0.31,1.0,0.0,1,aguanieve
aguardiente,brandy,2.17,1.18,1.27,0.52,1.37,0.72,1.5,0.78,2.43,1.38,1,aguardiente
agudo,sharp,1.53,0.9,1.57,1.17,1.4,0.93,1.73,1.05,1.37,0.89,1,agudo
águila,eagle,2.07,1.17,1.3,0.75,1.13,0.51,2.27,1.11,1.37,0.76,1,aguila
aguja,needle,1.13,0.35,1.5,1.07,1.37,0.85,2.17,1.29,1.6,1.04,1,aguja
ahogarse,drown,1.03,0.18,2.23,1.45,3.43,1.38,4.57,0.86,1.47,1.07,2,ahogarse
ahorrar,save,2.53,1.33,1.17,0.53,1.37,0.67,1.23,0.5,1.07,0.37,2,ahorrar
aire,air,2.87,1.48,1.13,0.57,1.13,0.43,1.1,0.31,1.1,0.55,1,aire
aislamiento,isolation,1.1,0.4,2.37,1.54,3.77,1.25,4.0,1.23,1.83,1.32,1,aislamiento
ajedrez,chess,2.1,1.24,1.47,1.04,1.47,0.9,1.27,0.58,1.03,0.18,1,ajedrez
alambrada,wire fence,1.2,0.76,1.93,1.28,2.2,1.24,2.03,1.1,1.53,1.04,1,alambrada
alambre,wire,1.17,0.53,1.4,0.77,1.67,0.99,1.83,1.12,1.23,0.63,1,alambre
alba,dawn,3.13,1.14,1.07,0.37,1.53,0.9,1.0,0.0,1.0,0.0,1,alba
albañil,builder,1.73,1.08,1.23,0.57,1.43,0.68,1.33,0.66,1.43,0.86,1,albanil
albergue,hostel,2.9,1.37,1.37,0.85,1.53,1.01,1.73,0.87,1.87,0.94,1,albergue
alcaldesa,mayor,1.43,0.82,2.13,1.43,1.43,0.9,1.23,0.63,1.93,1.41,1,alcaldesa
alce,elk,2.39,1.2,1.11,0.42,1.18,0.48,2.21,1.2,1.14,0.52,1,alce
alcohólico,alcoholic,1.27,0.64,2.63,1.63,3.9,0.92,2.63,1.33,2.47,1.5,3,alcoholico
alegre,merry,4.83,0.38,1.1,0.4,1.1,0.4,1.23,0.57,1.03,0.18,1,alegre
alergia,allergy,2.43,1.89,1.89,1.4,2.0,1.41,2.0,1.41,2.21,1.55,1,alergia
alerta,alert,1.4,0.77,1.57,0.9,1.5,0.9,3.0,1.34,1.33,0.8,1,alerta
alfiler,pin,1.5,1.11,1.53,0.78,1.6,0.97,2.53,1.28,1.3,0.75,1,alfiler
alfombra,carpet,1.6,0.86,1.2,0.61,1.3,0.79,1.13,0.51,2.03,1.1,1,alfombra
alianza,alliance,3.1,1.21,1.4,0.72,1.3,0.53,2.0,1.11,1.23,0.43,1,alianza
alicates,pliers,1.31,0.76,1.45,0.87,1.17,0.54,1.83,1.04,1.21,0.62,1,alicates
aliento,breath,1.43,0.68,1.6,1.16,1.73,1.2,1.8,1.21,2.5,1.31,1,aliento
alivio,relief,3.7,1.12,1.07,0.25,1.23,0.63,1.37,0.56,1.03,0.18,1,alivio
alma,soul,2.7,1.37,1.57,1.1,1.97,1.16,1.9,0.88,1.27,0.74,1,alma
almeja,clam,1.72,1.16,1.0,0.0,1.03,0.19,1.1,0.41,1.69,1.14,1,almeja
almohada,pillow,3.03,1.5,1.03,0.18,1.2,0.66,1.03,0.18,1.07,0.25,1,almohada
altercado,altercation,1.07,0.26,2.79,1.32,2.25,1.27,2.93,1.27,1.64,1.03,1,altercado
aluminio,aluminum,1.07,0.37,1.07,0.37,1.03,0.18,1.07,0.25,1.0,0.0,1,aluminio
alumno,student,2.67,1.35,1.4,0.86,1.47,0.78,1.57,0.97,1.37,0.72,1,alumno
amabilidad,kindness,4.03,1.03,1.23,0.5,1.03,0.18,1.13,0.43,1.13,0.43,1,amabilidad
amable,kind,4.37,1.0,1.1,0.31,1.23,0.5,1.27,0.52,1.13,0.35,1,amable
amado,loved,4.33,0.88,1.4,0.72,1.37,0.72,1.97,1.07,1.07,0.37,3,amado
amanecer,sunrise,4.07,0.94,1.07,0.25,1.77,1.01,1.4,0.97,1.03,0.18,1,amanecer
amante,lover,2.97,1.38,2.2,1.21,2.0,1.31,2.23,1.3,1.83,1.15,1,amante
amarillo,yellow,2.07,1.23,1.2,0.61,1.07,0.25,1.17,0.59,1.13,0.57,3,amarillo
ambición,ambition,2.73,1.31,1.8,0.96,1.67,1.12,1.93,1.14,1.8,1.13,1,ambicion
ambiente,atmosphere,2.77,1.25,1.57,1.01,1.53,0.82,1.53,0.97,1.57,1.07,1,ambiente
ambulancia,ambulance,1.07,0.25,1.43,1.04,3.07,1.26,3.03,1.35,1.23,0.68,1,ambulancia
amenaza,menace,1.03,0.18,2.73,1.17,2.33,1.42,3.77,1.19,1.7,0.95,1,amenaza
ametralladora,machine gun,1.23,0.82,4.07,1.26,3.63,1.38,4.4,1.0,3.47,1.48,1,ametralladora
amiga,friend,4.1,1.18,1.33,0.66,1.9,1.16,1.53,0.73,1.2,0.66,1,amiga
amigable,friendly,4.17,1.29,1.2,0.66,1.13,0.51,1.23,0.57,1.1,0.4,1,amigable
amigo,friend,4.53,0.73,1.2,0.48,1.53,0.94,1.57,0.94,1.13,0.51,3,amigo
amor,love,4.7,0.6,1.63,1.16,2.23,1.33,2.6,1.5,1.07,0.25,1,amor
ampliación,extension,2.4,1.43,1.37,0.81,1.4,0.93,1.57,1.01,1.3,0.88,1,ampliacion
amplitud,amplitude,2.57,1.3,1.33,0.88,1.57,1.1,2.0,1.26,1.47,0.82,1,amplitud
ampolla,blister,1.0,0.0,1.97,1.35,1.87,1.14,1.67,1.06,3.4,1.0,1,ampolla
análisis,analysis,1.4,0.67,1.7,1.12,1.7,0.95,3.1,1.3,1.83,1.15,1,analisis
analista,analyst,1.69,1.07,1.28,0.59,1.34,0.72,1.86,1.19,1.38,0.62,1,analista
analogía,analogy,1.41,0.87,1.1,0.41,1.14,0.35,1.14,0.35,1.03,0.19,1,analogia
anciano,elderly,2.7,1.26,1.1,0.4,2.63,1.07,1.27,0.69,1.17,0.46,3,anciano
anfitrión,host,3.69,1.26,1.21,0.68,1.03,0.19,1.31,0.54,1.17,0.54,1,anfitrion
ángel,angel,3.1,1.54,1.17,0.59,1.5,0.94,1.07,0.25,1.13,0.57,1,angel
anguila,eel,1.24,0.64,1.21,0.49,1.21,0.49,2.62,1.45,2.83,1.58,1,anguila
angustia,distress,1.0,0.0,2.53,1.2,3.57,1.04,3.5,1.17,1.9,1.21,1,angustia
angustiado,anguished,1.07,0.25,2.33,1.3,3.6,1.25,3.63,1.25,1.8,1.1,1,angustiado
anhelo,desire,1.83,1.05,1.67,0.92,3.6,1.22,2.33,1.32,1.33,0.66,1,anhelo
anillo,ring,2.7,1.42,1.07,0.37,1.27,0.74,1.3,0.75,1.2,0.66,1,anillo
ánimo,cheer,4.1,0.88,1.27,0.64,1.5,0.86,1.23,0.68,1.07,0.25,1,animo
anorak,anorak,2.13,1.17,1.3,0.75,1.57,1.01,1.07,0.37,1.23,0.57,1,anorak
ansioso,anxious,1.33,0.92,2.23,1.5,2.47,1.46,2.8,1.42,1.43,1.01,1,ansioso
antecedente,antecedent,1.73,1.2,1.6,1.13,1.77,1.07,1.9,1.16,1.43,1.01,1,antecedente
antena,antenna,1.47,0.94,1.17,0.53,1.1,0.4,1.2,0.61,1.1,0.4,1,antena
anticuario,antiquarian,1.66,1.08,1.03,0.19,1.76,1.12,1.14,0.35,1.17,0.47,1,anticuario
antorcha,torch,2.13,1.22,1.47,0.86,1.5,0.9,2.2,1.1,1.23,0.73,1,antorcha
antropólogo,anthropologist,1.9,1.06,1.13,0.43,1.13,0.51,1.2,0.55,1.13,0.35,1,antropologo
añoranza,yearning,1.43,0.97,1.87,1.38,4.03,1.07,2.8,1.47,1.5,1.22,1,anoranza
apariencia,appearance,1.53,1.01,1.53,0.94,1.97,1.1,1.7,0.99,2.23,1.04,1,apariencia
apartamento,apartment,2.97,1.3,1.23,0.73,1.43,0.77,1.47,0.86,1.37,0.85,1,apartamento
aplastado,crushed,1.17,0.53,2.17,1.32,2.7,1.29,2.73,1.48,2.17,1.26,1,aplastado
aplauso,applause,4.03,0.85,1.23,0.57,1.2,0.55,1.33,0.61,1.17,0.46,1,aplauso
aprecio,appreciation,3.93,1.05,1.27,0.83,1.4,0.67,1.5,0.94,1.3,0.84,1,aprecio
aprender,learn,3.93,1.23,1.23,0.82,1.47,0.94,1.8,1.06,1.17,0.46,2,aprender
aprobación,acceptance,4.0,0.74,1.27,0.58,1.43,0.9,2.17,1.26,1.27,0.58,1,aprobacion
aptitud,aptitude,3.47,1.36,1.1,0.4,1.03,0.18,1.13,0.35,1.1,0.4,1,aptitud
apuros,hardship,1.13,0.51,2.13,1.28,2.33,1.3,3.1,1.4,1.4,0.81,1,apuros
árbitro,referee,1.3,0.6,2.17,1.18,1.37,0.72,1.1,0.4,1.33,0.76,1,arbitro
árbol,tree,3.07,1.57,1.03,0.18,1.37,0.67,1.03,0.18,1.03,0.18,1,arbol
archivador,folder,1.43,0.9,1.27,0.74,1.23,0.73,1.13,0.51,1.13,0.51,1,archivador
arco,arch,1.43,0.82,1.4,0.81,1.37,0.96,1.97,1.16,1.07,0.37,1,arco
arcoíris,rainbow,4.03,1.22,1.0,0.0,1.03,0.18,1.0,0.0,1.13,0.73,1,arcoiris
ardilla,squirrel,3.4,1.28,1.0,0.0,1.13,0.51,1.13,0.35,1.1,0.31,1,ardilla
argumento,argument,2.37,1.27,1.57,0.9,1.5,1.04,1.8,0.89,1.3,0.65,1,argumento
arma,weapon,1.2,0.81,3.33,1.32,3.2,1.54,3.7,1.32,2.27,1.44,1,arma
armario,cabinet,1.83,1.09,1.3,0.88,1.33,0.88,1.47,0.94,1.2,0.61,1,armario
arqueólogo,archaeologist,2.17,1.18,1.13,0.43,1.07,0.37,1.2,0.55,1.07,0.37,1,arqueologo
arquitecto,architect,2.1,1.21,1.2,0.55,1.27,0.83,1.17,0.65,1.27,0.64,1,arquitecto
arrebatar,snatch,1.27,0.78,3.43,1.48,3.17,1.39,3.07,1.23,1.93,1.05,1,arrebatar
arrepentido,repentant,1.4,0.72,1.83,1.21,3.03,1.47,1.7,1.12,1.37,0.81,1,arrepentido
arrogante,arrogant,1.0,0.0,3.27,1.34,2.27,1.41,1.63,1.13,3.03,1.47,1,arrogante
arroyo,stream,2.04,1.14,1.25,0.59,1.61,1.17,1.64,1.03,1.29,0.76,1,arroyo
arte,art,3.63,1.27,1.6,1.0,1.97,1.35,1.5,0.86,1.47,0.9,1,arte
artefacto,artifact,1.37,0.81,1.73,1.31,1.67,1.15,2.6,1.65,1.47,0.97,1,artefacto
artesana,artisan,2.53,1.38,1.0,0.0,1.17,0.65,1.0,0.0,1.07,0.25,1,artesana
artista,artist,3.37,1.19,1.23,0.68,1.5,0.86,1.13,0.35,1.07,0.25,1,artista
as,ace,2.84,1.6,1.68,1.11,1.28,0.61,1.56,0.87,1.32,0.69,1,as
asalariada,salaried,3.2,1.3,1.57,0.73,1.53,0.78,1.6,0.81,1.23,0.5,1,asalariada
ascender,ascend,3.73,1.31,1.13,0.43,1.53,1.01,2.07,1.01,1.13,0.43,1,ascender
ascensor,elevator,1.4,0.67,1.2,0.55,1.17,0.53,1.73,0.87,1.23,0.57,1,ascensor
asediado,embattled,1.15,0.61,2.62,1.5,3.0,1.55,3.19,1.5,1.96,1.34,1,asediado
asesina,killer,1.13,0.73,3.27,1.41,2.57,1.3,4.07,1.08,2.53,1.43,1,asesina
asesinar,assassin,1.0,0.0,4.13,0.97,3.73,1.14,4.23,1.19,2.83,1.34,1,asesinar
asesinato,murder,1.1,0.4,3.9,1.37,3.93,1.28,4.13,1.04,3.2,1.45,1,asesinato
asesino,killer,1.0,0.0,4.13,1.14,3.8,1.37,4.37,0.93,3.93,1.36,3,asesino
asesor,advisor,1.73,1.11,1.07,0.25,1.17,0.59,1.27,0.78,1.23,0.43,1,asesor
asesora,adviser,2.13,1.11,1.47,0.86,1.53,1.07,1.6,0.86,1.3,0.6,1,asesora
asfalto,asphalt,1.43,0.86,1.57,1.1,1.63,1.16,1.8,1.19,1.93,1.23,1,asfalto
asfixiarse,suffocate,1.07,0.37,2.77,1.43,3.33,1.42,4.77,0.57,2.0,1.11,2,asfixiarse
asiento,seat,1.9,1.21,1.23,0.57,1.27,0.74,1.27,0.74,1.3,0.6,1,asiento
asilo,asylum,1.64,0.91,1.82,1.19,3.68,1.19,2.89,1.31,1.68,1.22,1,asilo
asistenta,housekeeper,2.13,1.43,1.23,0.63,1.77,1.04,1.37,0.61,1.2,0.48,1,asistenta
asno,donkey,2.33,1.3,1.17,0.59,1.43,0.68,1.3,0.65,1.33,0.8,1,asno
asombrado,astonished,2.43,1.33,1.33,0.76,1.27,0.64,1.67,1.06,1.17,0.46,1,asombrado
áspero,rough,1.1,0.4,1.4,0.72,1.4,0.62,1.23,0.68,2.2,1.24,1,aspero
asqueado,disgusted,1.03,0.19,2.28,1.31,2.41,1.05,1.59,1.05,3.48,1.64,1,asqueado
asqueroso,nasty,1.2,0.81,1.93,1.05,1.63,1.03,1.9,1.27,4.23,1.1,3,asqueroso
astronauta,astronaut,2.3,1.37,1.13,0.51,1.4,0.81,1.73,1.08,1.1,0.4,1,astronauta
asunto,issue,1.57,0.94,1.33,0.71,1.4,0.72,1.67,0.8,1.1,0.4,1,asunto
asustado,scared,1.03,0.18,1.87,1.17,2.97,1.3,3.73,1.36,1.23,0.77,1,asustado
atentado,attack,1.0,0.0,3.87,1.22,4.23,1.04,4.43,0.68,2.83,1.42,1,atentado
aterrorizado,terrified,1.1,0.4,2.47,1.38,2.63,1.27,4.77,0.5,1.7,0.99,1,aterrorizado
ático,penthouse,3.1,1.35,1.03,0.18,1.27,0.58,1.47,0.68,1.03,0.18,1,atico
atleta,athlete,2.47,1.22,1.07,0.37,1.03,0.18,1.0,0.0,1.03,0.18,1,atleta
atracador,robber,1.03,0.18,3.2,1.37,2.5,1.36,3.97,1.19,2.17,1.62,1,atracador
atracción,attraction,3.79,0.98,1.17,0.54,1.69,1.14,2.28,1.39,1.24,0.51,1,atraccion
atraco,robbery,1.03,0.18,3.43,1.33,2.73,1.28,4.2,1.06,2.23,1.55,1,atraco
atraer,attract,3.23,1.38,1.1,0.4,1.33,0.71,1.67,0.99,1.1,0.31,1,atraer
atrevido,bold,2.73,1.28,1.33,0.92,1.03,0.18,1.67,1.06,1.13,0.73,1,atrevido
