palabra,Action_Mean,Action_SD,BodyExp_Mean,BodyExp_SD,Evaluation _Mean,Evaluation _SD,Feeling_Mean,Feeling_SD,Interoception_Mean,Interoception_SD,Morality_Mean,Morality_SD,SenExp_Mean,SenExp_SD,SocInt_Mean,SocInt_SD,Thought_Mean,Thought_SD,palabra_noaccents
abandonado,3.65,2.0332758116683998,4.739130434782608,1.7377464849194204,3.238095238095238,2.364418784918651,5.636363636363637,1.940678687014872,3.857142857142857,2.1044171232366047,2.8636363636363638,2.0306099141333434,,,3.6666666666666665,2.1291625896895083,3.5714285714285716,1.9383350734955136,abandonado
abandonarse,4.55,1.932410548076104,4.608695652173913,1.9940623322705426,2.5714285714285716,2.0873770280289223,4.954545454545454,2.103902784447734,3.619047619047619,1.9098740920854045,2.3636363636363638,1.5900121157206721,3.608695652173913,2.0167284586402126,2.619047619047619,1.8021151593666394,4.0,1.816590212458495,abandonarse
abandono,3.8636363636363638,1.8334317171555259,3.8095238095238093,2.1821789023599236,2.875,2.1931216584347646,4.590909090909091,2.1747269321542944,4.538461538461538,2.1583469458040194,2.391304347826087,1.9940623322705429,,,4.142857142857143,2.1044171232366047,3.6,2.036508880671192,abandono
abatido,4.208333333333333,2.166527308784762,4.0476190476190474,2.085094493690645,3.1,2.1496633763403397,5.722222222222222,1.9037287113808907,4.608695652173913,2.1477076666399157,3,1.9493588689617927,3.8181818181818183,1.842264745887353,2.5,1.7320508075688772,4.434782608695652,1.6188123299764539,abatido
abatimiento,3.857142857142857,2.0805219125429626,4.285714285714286,1.3835771443203715,2.2941176470588234,2.0846074535255115,4.473684210526316,2.1951568167883586,5.111111111111111,1.3234931004459767,3.0952380952380953,1.8948551898433268,4.238095238095238,1.786190412715338,3.611111111111111,2.0332208262027454,4.105263157894737,1.8527678046673026,abatimiento
abatirse,4.052631578947368,1.68238204838412,4.095238095238095,1.7001400502535637,3.8421052631578947,1.8933555718980595,5.1,1.9439514830419637,4.380952380952381,1.9358768162305804,3.0454545454545454,1.7037010895686493,3.9523809523809526,1.6575943555704598,2.9,1.6189665319514632,4.4,2.036508880671192,abatirse
abochornado,4.2727272727272725,1.7232808737106584,4.473684210526316,2.5466409477896694,3.15,1.8144159564878983,4.590909090909091,2.1304837570282102,4.8076923076923075,1.8551383941739932,3,1.3801311186847085,5.095238095238095,1.7861904127153387,4.285714285714286,2.239260081876537,4.2105263157894735,1.7184924714030623,abochornado
abochornarse,4.333333333333333,1.6803361008336117,4.2,1.8806493839265088,2.3,1.5252264715358452,4.8,2.0416711421361615,5.2272727272727275,1.3777766140664454,2.85,1.598519051464429,4.45,1.6693837501494848,4.888888888888889,2.2980525998405663,4.636363636363637,1.4974726182552525,abochornarse
abominado,2.5,1.632993161855452,3.7142857142857144,2.0164161440372537,2.8461538461538463,1.9513309067639728,5.0,1.8708286933869707,3.642857142857143,1.7368026705655186,2.1818181818181817,1.1677484162422844,2.3125,1.7017148213885114,2.6923076923076925,1.6012815380508714,4.066666666666666,1.9444671200491874,abominado
abominar,3.75,2.1447610589527217,3.2,2.2803508501982757,2.5454545454545454,1.916436086262016,3.6,1.4298407059684815,3.05,1.932410548076104,2.1333333333333333,1.505545305418162,2.6666666666666665,1.4474937289114918,3.066666666666667,1.486446705914413,2.533333333333333,1.5522640914238175,abominar
aborrecer,4.541666666666667,2.225917820793826,4.173913043478261,1.9224079103855776,3.55,1.932410548076104,4.35,2.3457688673327066,4.086956521739131,2.0870388653056855,3.15,1.7252002172135514,3.95,1.8202082009311027,3.4,1.9574419397183718,4.909090909090909,1.8233692233542078,aborrecer
