palabra,mean_rt,mean_error,concreteness,familiarity,aoa,palabra_noaccents
abad,807.5545454545454,38.88888888888889,,,10.727,abad
abajo,679.7578947394737,2.564102564102564,3.85,6.4,,abajo
abandonado,620.3916666638889,0.0,4.276,6.034,,abandonado
abandonar,610.8310344724138,0.0,,,,abandonar
abandono,673.834374996875,0.0,,,,abandono
abarcar,705.9724138,3.3333333333333335,,,10.095,abarcar
abastecimiento,758.253124984375,8.571428571428571,,,10.28,abastecimiento
abatimiento,824.9876785607142,22.22222222222222,3.346,2.8,,abatimiento
abatir,748.787499996875,3.03030303030303,,,,abatir
abdomen,612.3303030333334,2.941176470588235,6.429,6.269,,abdomen
abeja,661.3918918756757,2.631578947368421,,,,abeja
aberración,692.8677419419355,3.125,,,,aberracion
abertura,701.7117647029412,8.108108108108109,,,7.56,abertura
abeto,789.5862068965517,27.500000000000004,6.1,5.095,,abeto
abierta,593.2355405351351,0.0,4.278,6.714,,abierta
abierto,563.1181081108108,5.128205128205128,,,,abierto
abismo,685.5030303060606,0.0,,,,abismo
abnegación,884.816799996,28.57142857142857,,,,abnegacion
abogado,616.7089743794871,2.5,,,,abogado
abonar,676.0470588264706,2.857142857142857,,,,abonar
abono,676.6914285571429,0.0,,,,abono
abordar,671.0151470588236,5.555555555555555,,,9.316,abordar
aborto,639.9894594540541,0.0,,,,aborto
abrasador,701.1647058882353,5.555555555555555,3.917,4.464,,abrasador
abrazar,573.7927027027027,0.0,,,,abrazar
abrazo,593.6798648648648,0.0,,,,abrazo
abrigo,643.6289473684211,0.0,,,,abrigo
abril,558.4051282102564,0.0,,,,abril
abrir,558.9424242727273,2.941176470588235,,,,abrir
abroncar,810.3000000043478,36.11111111111111,,,,abroncar
abrumado,704.8323611083333,2.7027027027027026,3.808,3.607,,abrumado
absolución,790.2328333333334,14.28571428571428,,,,absolucion
absoluto,664.244999995,0.0,2.7,5.92,,absoluto
absorber,645.5469444333334,2.7027027027027026,,,6.571,absorber
absorción,637.671875021875,3.03030303030303,,,,absorcion
abstinencia,731.3,6.25,,,10.4,abstinencia
abstracción,699.9142857095238,0.0,,,,abstraccion
abstracto,669.00312499375,3.03030303030303,2.391,4.964,,abstracto
absurdo,630.1974358948718,2.5,,,,absurdo
abuela,559.6927777833333,2.7027027027027026,,,,abuela
abuelo,546.0876388944445,2.7027027027027026,,,,abuelo
abundancia,669.1976744069767,0.0,,,,abundancia
abundante,689.6100000075,0.0,2.75,5.679,,abundante
aburrido,618.5743589769231,0.0,3.897,6.724,,aburrido
aburrimiento,676.3342857142857,0.0,,,,aburrimiento
aburrir,628.6105263184211,2.564102564102564,3.75,6.576,,aburrir
abuso,544.06128572,5.405405405405405,,,,abuso
acabar,610.5085714342857,0.0,,,,acabar
academia,608.382435874359,0.0,,,,academia
académico,645.6644594621622,0.0,,,,academico
acallar,690.4933333533334,57.14285714285714,,,9.48,acallar
acampar,701.6089393878788,10.81081081081081,5.478,4.905,6.423,acampar
acantilado,775.8606060606061,0.0,,,,acantilado
acariciar,701.5447368342105,0.0,,,,acariciar
acarrear,772.893939390909,17.5,,,9.85,acarrear
acatar,772.1103448241379,19.44444444444444,,,,acatar
acceder,629.4378378351352,0.0,,,,acceder
acceso,660.5897435897436,2.5,,,6.44,acceso
accesorio,633.1676471029411,5.555555555555555,3.05,5.923,,accesorio
accidente,577.3432432540541,0.0,,,,accidente
acción,586.885,0.0,,,,accion
acecho,724.6526315894737,36.66666666666666,,,,acecho
aceite,578.9733333025641,2.5,,,,aceite
aceleración,699.3858333416666,0.0,,,,aceleracion
acelerar,651.8111111083333,2.7027027027027026,,,6.381,acelerar
acento,593.778918918919,0.0,,,,acento
acentuar,695.3057142771429,5.405405405405405,,,6.7,acentuar
acepción,694.3481481222223,25.0,,,,acepcion
aceptable,582.3472222166666,5.263157894736842,4.111,6.5,6.885,aceptable
aceptación,626.0184210447369,0.0,,,,aceptacion
aceptar,598.1243243324325,0.0,,,,aceptar
acequia,783.6894736947369,48.64864864864865,,,10.056,acequia
acera,666.2545454515151,2.941176470588235,,,,acera
acercamiento,735.288235282353,5.555555555555555,,,6.222,acercamiento
acercar,679.5894736868421,2.564102564102564,,,,acercar
acero,650.6060526657894,2.564102564102564,,,,acero
acertar,644.7764705882353,2.857142857142857,,,4.833,acertar
ácido,604.4697674581396,0.0,,,,acido
acierto,588.2484848484848,2.941176470588235,,,,acierto
aclamar,732.14062499375,15.789473684210531,,,,aclamar
aclaración,662.5885714228572,0.0,,,,aclaracion
aclarar,642.2297297324325,5.128205128205128,,,7.3,aclarar
acné,671.0128205153846,2.5,,,,acne
acogedor,674.7513513513513,2.631578947368421,3.926,5.786,,acogedor
acogedora,806.57930555,2.7027027027027026,,,,acogedora
acometer,845.3699999950001,41.17647058823529,,,10.167,acometer
acomodar,678.0031250125,3.03030303030303,,,8.111,acomodar
acomodo,686.6262068999999,17.14285714285714,,,9.6,acomodo
acompañamiento,733.4700000025,0.0,,,,acompanamiento
acompañante,656.7270833305555,2.7027027027027026,,,,acompanante
acompañar,598.740256351282,0.0,,,,acompanar
aconsejar,598.2864864864865,2.631578947368421,4.261,6.107,,aconsejar
acontecer,763.6448275896552,6.451612903225806,,,10.15,acontecer
acontecimiento,761.5916666694444,0.0,,,,acontecimiento
acordar,666.1416666472222,0.0,,,6.158,acordar
acorde,678.2105263157895,0.0,,,8.095,acorde
acordeón,717.96666667,6.25,,,,acordeon
acosar,649.7628571257143,0.0,,,,acosar
acoso,607.3682926609756,4.651162790697674,,,,acoso
acostar,650.3342104894737,0.0,4.478,6.048,5.077,acostar
acre,771.9208333333333,44.18604651162791,,,,acre
acritud,823.0277777833334,50.0,,,10.722,acritud
acta,694.1650000030303,8.333333333333332,,,9.05,acta
actitud,603.4492857171429,2.777777777777778,,,,actitud
activa,587.0677419290322,6.0606060606060606,4.222,5.818,6.846,activa
activación,732.5619047690476,2.325581395348837,,,,activacion
activar,612.3540540432432,0.0,,,,activar
actividad,628.6399999885714,0.0,,,,actividad
acto,581.497500005,0.0,,,,acto
actor,599.175945945946,0.0,,,,actor
actriz,626.3688571371429,5.405405405405405,,,,actriz
actuación,659.7236842078947,2.564102564102564,,,,actuacion
actual,581.5674418441861,0.0,3.3,6.593,,actual
actualidad,630.5345946027027,0.0,,,,actualidad
actuar,636.6235294117647,0.0,,,,actuar
acuarela,691.6028378324324,0.0,,,,acuarela
acuático,608.3583333472222,0.0,,,,acuatico
acuchillar,733.0984285742857,5.405405405405405,,,,acuchillar
acudir,612.5852941294117,2.857142857142857,,,7.3,acudir
acueducto,781.2874999791667,31.428571428571427,,,,acueducto
acuerdo,572.9263157921052,0.0,,,,acuerdo
acumulación,638.9228571342857,0.0,,,,acumulacion
acumular,599.4485714171428,2.777777777777778,,,7.35,acumular
acurrucarse,788.1685294088235,0.0,5.645,5.214,,acurrucarse
acusación,630.28666666,6.25,,,,acusacion
acusar,649.8333333358975,2.5,,,,acusar
acústica,654.3722222333333,5.263157894736842,,,,acustica
adaptación,656.3225000075,0.0,,,,adaptacion
adaptar,618.2431579210527,5.0,,,7.0,adaptar
adelantar,611.3837837675676,2.631578947368421,,,5.6,adelantar
adelante,640.9799999942858,5.405405405405405,4.667,6.762,,adelante
adelanto,608.3843749875,5.882352941176471,,,7.04,adelanto
ademán,734.6294117352941,55.26315789473685,,,,ademan
además,605.4628571457143,0.0,,,,ademas
adentro,644.2176470647058,0.0,4.68,5.5,4.154,adentro
adhesión,653.1593750125,8.571428571428571,,,,adhesion
adición,680.9551724034483,19.44444444444444,,,,adicion
adicional,658.4182432054054,0.0,4.0,4.286,9.0,adicional
adicto,666.9342857142857,5.405405405405405,4.593,5.964,,adicto
adinerado,772.16,7.894736842105263,4.923,4.643,,adinerado
adiós,601.4421052605263,0.0,,,,adios
adivina,677.0422857142858,0.0,,,4.88,adivina
adivinar,600.1552631210526,0.0,,,,adivinar
adivino,652.7527941147059,0.0,4.913,4.667,6.0,adivino
adjetivo,637.1216216513513,2.631578947368421,,,,adjetivo
administración,708.839393939394,0.0,,,,administracion
administrador,659.3459459486486,2.631578947368421,,,9.1,administrador
administrar,641.3666666666667,2.5,,,8.444,administrar
administrativa,706.8965517310345,3.3333333333333335,,,7.714,administrativa
admirable,624.4617646852942,5.555555555555555,3.957,4.762,8.154,admirable
admiración,633.0006944472223,0.0,,,,admiracion
admirado,621.0575757515152,0.0,,,,admirado
admirador,616.63124999375,3.03030303030303,5.333,5.636,7.5,admirador
admirar,613.6232352941176,0.0,,,,admirar
admitir,571.8901351378379,0.0,,,6.2,admitir
adolescencia,628.2194285714286,2.777777777777778,,,,adolescencia
adolescente,603.3521621756756,0.0,,,,adolescente
adoptar,617.0371428542857,0.0,5.0,5.095,7.346,adoptar
adorable,604.8257142942857,5.405405405405405,3.321,6.517,,adorable
adoración,682.3486486459459,5.128205128205128,,,,adoracion
adornar,647.843589751282,2.5,3.579,6.45,,adornar
adorno,657.2989705882353,0.0,,,,adorno
adosado,742.6515151545455,17.5,4.966,4.143,,adosado
adquirir,607.1552631631579,5.0,,,,adquirir
adquisición,654.0967741967742,3.125,,,,adquisicion
adrenalina,665.2015714257143,0.0,5.481,5.727,9.346,adrenalina
aduana,709.6143243243243,5.128205128205128,,,9.7,aduana
adulterado,746.65,9.090909090909092,,,,adulterado
adulterio,717.6650000058823,5.555555555555555,,,,adulterio
adulto,575.4514285257143,0.0,,,,adulto
advenimiento,963.2875000041666,29.411764705882348,,,9.944,advenimiento
adverbio,733.2162162108108,2.631578947368421,5.15,5.654,,adverbio
advertencia,648.65555555,0.0,,,,advertencia
advertir,655.2833333277778,0.0,,,,advertir
aérea,673.4883333366666,18.91891891891892,,,,aerea
aéreo,678.7787878787879,2.941176470588235,,,,aereo
aeroplano,800.3473684263158,9.523809523809524,5.632,4.15,,aeroplano
aeropuerto,622.8169444444444,0.0,,,,aeropuerto
afamado,994.0923076923077,61.76470588235294,,,,afamado
afán,683.2628787878788,8.333333333333332,,,,afan
afectar,669.6319117647059,2.857142857142857,,,,afectar
afecto,607.5514286028572,0.0,,,,afecto
afectuoso,706.2098484848485,2.941176470588235,,,,afectuoso
afeitar,674.3290322548387,6.0606060606060606,,,,afeitar
afianzar,657.2935484,8.823529411764707,4.593,3.786,,afianzar
afición,666.9000000032258,3.125,,,,aficion
aficionado,708.7588235352941,0.0,,,7.96,aficionado
afinidad,623.8941176617647,2.857142857142857,3.556,5.444,,afinidad
afirmación,624.0046511604651,0.0,,,,afirmacion
afirmar,640.7391892054054,0.0,,,6.864,afirmar
afirmativo,612.4848484878788,0.0,4.778,6.091,6.654,afirmativo
afligido,739.6444444444445,12.90322580645161,3.947,2.75,,afligido
afortunado,637.3242424333333,0.0,,,,afortunado
afrontar,629.8881944444445,0.0,,,8.263,afrontar
afuera,629.6971428485714,5.405405405405405,4.6,5.538,3.808,afuera
agarrado,693.2159722194444,0.0,,,,agarrado
agarrar,643.6394736710527,0.0,4.333,5.92,,agarrar
agarre,680.3870967774194,0.0,4.556,5.0,7.692,agarre
agencia,599.285294117647,0.0,,,,agencia
agenda,574.2676470617647,0.0,,,,agenda
ágil,542.2848484757576,2.941176470588235,,,,agil
agilidad,629.5277777611111,7.6923076923076925,,,,agilidad
agitación,631.9706756675675,0.0,,,,agitacion
aglomeración,729.5774193387097,6.0606060606060606,,,,aglomeracion
agobiado,626.14928572,0.0,,,,agobiado
agonía,661.9657142828571,0.0,,,,agonia
agonizar,726.6100000066666,16.66666666666667,,,,agonizar
agosto,565.5534883883721,0.0,,,,agosto
agotamiento,629.1097297216216,0.0,,,,agotamiento
agradable,602.0942857057142,0.0,3.143,6.857,,agradable
agradar,653.6360294117648,5.555555555555555,,,,agradar
agradecer,611.3867567486486,0.0,,,,agradecer
agradecido,627.5088888833334,2.7027027027027026,4.172,6.517,,agradecido
agradecimiento,685.6256410230769,2.5,,,,agradecimiento
agrado,616.2806756783784,0.0,,,,agrado
agredir,645.6272727272727,5.714285714285714,,,,agredir
agregar,637.7292857057142,0.0,,,7.381,agregar
agresión,611.048589748718,2.5,,,,agresion
agresividad,623.0362162243243,0.0,,,,agresividad
agresivo,629.3777777833334,2.7027027027027026,,,,agresivo
agricultor,572.6542647088236,8.108108108108109,,,,agricultor
agricultura,637.3908333333334,0.0,,,,agricultura
agrupación,648.0001515151515,2.941176470588235,,,,agrupacion
agua,593.3076923128206,0.0,,,,agua
aguacero,780.9972222194444,2.7027027027027026,,,9.333,aguacero
aguanieve,729.16333332,16.66666666666667,,,,aguanieve
aguantar,636.5058823588236,2.857142857142857,,,,aguantar
aguante,689.9843750375001,3.03030303030303,,,,aguante
aguardar,684.7034482827586,6.451612903225806,,,8.28,aguardar
aguardiente,652.153124996875,5.882352941176471,,,,aguardiente
agudeza,630.1944444611111,5.263157894736842,,,,agudeza
agudo,650.0083333333333,7.6923076923076925,,,,agudo
aguijón,728.0129032225807,16.21621621621622,,,,aguijon
águila,649.6482352941176,8.108108108108109,,,,aguila
aguja,613.1735294441177,2.857142857142857,,,,aguja
agujero,625.6970833277778,0.0,,,,agujero
ahogar,657.3763157894737,2.564102564102564,,,,ahogar
ahogo,716.6114285657143,5.405405405405405,,,5.611,ahogo
ahora,597.6166666666667,5.263157894736842,4.0,6.75,,ahora
ahorcar,642.3771428628571,0.0,,,,ahorcar
ahorrar,539.5636363545455,0.0,,,,ahorrar
ahorro,610.3333333358975,0.0,,,,ahorro
aire,546.4482051025641,2.5,,,,aire
aislante,653.6000000142857,6.666666666666667,,,9.632,aislante
aislar,657.1305555527778,0.0,,,7.81,aislar
ajedrez,577.1199999857142,0.0,,,,ajedrez
ajo,619.4806451580645,0.0,,,,ajo
ajustar,577.6230769282051,0.0,,,7.333,ajustar
ala,648.3366666533333,9.090909090909092,,,4.3,ala
alabado,726.4434782608696,28.125,3.889,3.955,8.423,alabado
alabanza,844.1633333366667,18.91891891891892,3.538,3.515,8.719,alabanza
alabar,768.537931024138,25.64102564102564,,,,alabar
alacena,856.8000000095238,50.0,,,,alacena
alambre,666.6621621459459,5.128205128205128,,,,alambre
alarde,757.5120455045454,43.58974358974359,,,9.84,alarde
alargar,690.956250003125,3.03030303030303,,,6.04,alargar
alarma,581.1212121242424,0.0,,,,alarma
alarmar,703.0157894789473,5.0,,,,alarmar
alba,603.3444117676471,2.857142857142857,,,,alba
albañil,635.0888888944445,7.6923076923076925,,,,albanil
albaricoque,717.47375,5.882352941176471,6.75,5.556,,albaricoque
