palabra,ico-m,ico-sd,palabra_noaccents
¡aba!,4.5,2.582,aba
¡abur!,4.786,1.929,abur
¡achís!,6.56,1.158,achis
¡adiós!,5.64,1.977,adios
¡aghgghh!,6.8,0.523,aghgghh
¡agur!,2.682,1.912,agur
¡ah!,2.72,1.815,ah
¡ahó!,1.6,1.188,aho
¡ajá!,6.15,1.461,aja
¡ajajá!,6.44,1.227,ajaja
¡ajajay!,6.042,1.732,ajajay
¡ajó!,4.765,2.195,ajo
¡ala!,6.52,1.085,ala
¡alalá!,5.0,2.309,alala
¡ale!,5.263,2.182,ale
¡aleluya!,5.375,1.555,aleluya
¡amén!,4.818,1.967,amen
¡anda!,5.714,1.554,anda
¡ar!,6.278,1.406,ar
¡arre!,5.708,1.706,arre
¡arrea!,5.6,1.871,arrea
¡atiza!,4.368,2.191,atiza
¡au!,6.25,1.648,au
¡aúpa!,5.72,1.487,aupa
¡auuu!,6.52,0.872,auuu
¡ay!,6.714,0.784,ay
¡ayayay!,6.619,1.117,ayayay
¡aymé!,4.769,2.555,ayme
¡bah!,6.0,1.871,bah
¡bang!,6.583,1.176,bang
¡bee!,5.789,1.686,bee
¡biiip!,3.0,2.116,biiip
¡bingo!,5.4,2.021,bingo
¡boing!,6.348,1.584,boing
¡boom!,6.826,0.491,boom
¡bravo!,5.72,1.72,bravo
¡brrr!,6.737,0.562,brrr
¡bu!,6.2,1.443,bu
¡buaaa!,6.619,0.669,buaaa
¡bueno!,2.76,1.899,bueno
¡buf!,6.143,1.797,buf
¡bum!,6.6,1.155,bum
¡bzzzz!,4.87,2.262,bzzzz
¡calla!,5.6,2.062,calla
¡carajo!,6.238,1.261,carajo
¡caramba!,5.318,2.079,caramba
¡caray!,4.762,2.143,caray
¡cáspita!,5.261,1.864,caspita
¡cataplam!,6.28,1.671,cataplam
¡cataplum!,6.36,1.319,cataplum
¡catapumba!,6.304,1.46,catapumba
¡chao!,5.24,2.146,chao
¡chapó!,5.8,1.704,chapo
¡chas!,6.4,1.19,chas
¡chisst!,6.609,0.656,chisst
¡cho!,5.35,2.033,cho
¡chof!,6.143,1.493,chof
¡clap clap!,6.273,1.518,clap_clap
¡co co có!,6.25,1.209,co_co_co
¡cojón!,5.65,1.694,cojon
¡cojones!,4.0,2.449,cojones
¡coño!,5.0,2.022,cono
¡córcholis!,5.952,1.431,corcholis
¡crash!,6.56,1.003,crash
¡cri cri!,6.591,1.008,cri_cri
¡cuidado!,4.619,2.109,cuidado
¡ding dong!,6.708,1.042,ding_dong
¡dios!,2.364,1.84,dios
¡ea!,6.136,1.781,ea
¡eh!,6.652,0.775,eh
¡ejem!,6.714,0.561,ejem
¡eureka!,5.737,1.996,eureka
¡fo!,4.714,2.4,fo
¡fu!,4.24,2.146,fu
¡glup!,6.682,0.646,glup
¡grrrr!,6.609,0.941,grrrr
¡guau!,5.88,1.364,guau
¡guay!,5.4,1.871,guay
¡hala!,4.737,2.232,hala
¡hale!,6.143,1.153,hale
¡hao!,6.0,1.549,hao
¡hip!,5.762,1.411,hip
¡hola!,4.762,2.256,hola
¡hombre!,4.591,2.343,hombre
¡hum!,6.318,0.945,hum
¡hurra!,6.304,1.49,hurra
¡huy!,6.52,1.122,huy
¡iiiiih!,6.636,0.658,iiiiih
¡ja!,6.45,0.826,ja
¡jajaja!,5.68,1.842,jajaja
¡je!,6.35,0.988,je
¡jejeje!,2.12,1.536,jejeje
¡ji!,5.85,1.694,ji
¡jijiji!,6.68,0.627,jijiji
¡jo!,3.24,1.943,jo
¡jobar!,4.684,2.187,jobar
¡joder!,3.375,2.242,joder
¡jojojo!,5.81,1.806,jojojo
¡jolín!,5.095,1.895,jolin
¡jolines!,5.174,1.922,jolines
¡joroba!,3.85,2.54,joroba
¡ju!,5.429,1.964,ju
¡jujuju!,6.2,1.756,jujuju
¡lástima!,5.12,1.666,lastima
¡leñe!,5.083,2.041,lene
¡maldición!,4.714,1.765,maldicion
¡mecachis!,5.64,1.997,mecachis
¡miau!,3.08,2.308,miau
¡mierda!,5.905,1.758,mierda
¡mino!,4.0,2.523,mino
¡mio!,2.16,1.573,mio
¡miso!,4.727,2.005,miso
¡mmmm!,5.857,1.558,mmmm
¡mu!,6.227,1.445,mu
¡muá!,6.6,1.041,mua
¡muac!,6.136,1.167,muac
¡muuu!,6.739,0.619,muuu
¡nanay!,6.143,1.59,nanay
¡niinoo niinoo!,6.68,0.627,niinoo_niinoo
¡ñam!,6.28,1.4,nam
¡oh!,4.08,2.414,oh
¡oink!,6.227,1.51,oink
¡ojalá!,4.4,2.398,ojala
¡ojo!,5.955,1.812,ojo
¡olé!,5.316,1.765,ole
¡oste!,5.133,2.232,oste
¡ostras!,5.667,2.129,ostras
¡paf!,6.56,1.261,paf
¡pam!,6.708,0.908,pam
¡pardiez!,3.933,1.831,pardiez
¡pataplum!,6.773,0.528,pataplum
¡pita!,5.409,1.79,pita
¡plaf!,6.8,0.5,plaf
¡plas!,6.88,0.44,plas
¡plum!,6.217,1.622,plum
¡pssst!,6.292,1.756,pssst
¡puaf!,6.524,0.981,puaf
¡puaj!,6.667,1.09,puaj
¡pucha!,5.5,1.512,pucha
¡puf!,2.28,1.458,puf
¡pum!,4.0,2.273,pum
¡pumba!,6.2,1.704,pumba
¡puñeta!,4.783,1.757,puneta
¡quia!,4.375,1.746,quia
¡quiquiriquí!,6.76,0.723,quiquiriqui
¡rataplán!,5.667,1.88,rataplan
¡recórcholis!,5.28,2.227,recorcholis
¡repámpanos!,4.714,1.793,repampanos
¡riiiing!,6.85,0.366,riiiing
¡ro!,4.933,1.944,ro
¡rrrr!,5.417,2.165,rrrr
¡snif!,6.182,1.259,snif
¡so!,6.091,1.601,so
¡stop!,6.48,1.005,stop
¡sus!,5.353,2.12,sus
¡ta!,5.688,1.852,ta
¡tate!,5.059,1.784,tate
¡to!,3.28,2.112,to
¡toc toc!,6.826,0.388,toc_toc
¡tuso!,5.5,2.023,tuso
¡uf!,6.818,0.501,uf
¡uh uh!,5.792,1.841,uh_uh
¡uh!,5.143,2.22,uh
¡upa!,5.208,2.0,upa
¡vale!,3.85,2.346,vale
¡vamos!,5.182,1.842,vamos
¡vaya!,4.8,2.198,vaya
¡velay!,4.286,2.43,velay
¡ya!,5.8,1.936,ya
¡yuju!,6.24,1.451,yuju
¡yupi!,5.19,2.272,yupi
¡za!,5.889,2.026,za
¡zape!,4.667,2.41,zape
¡zas!,5.857,1.769,zas
¡zuzo!,4.714,1.799,zuzo
¡zzzz!,6.348,1.496,zzzz
ábaco,2.043,1.77,abaco
abad,1.294,0.588,abad
abadesa,2.471,1.807,abadesa
abadía,1.778,1.478,abadia
abajo,3.364,2.3,abajo
abalanzar,3.043,2.099,abalanzar
abanderado,3.105,1.883,abanderado
abandonar,3.318,2.079,abandonar
abarca,2.913,1.621,abarca
abarcar,2.88,1.641,abarcar
abarque,1.833,1.249,abarque
abastecer,2.81,1.778,abastecer
abastecimiento,2.3,1.593,abastecimiento
abasto,2.8,1.795,abasto
abatimiento,3.45,1.959,abatimiento
abdicación,2.158,1.5,abdicacion
abdicar,2.88,1.691,abdicar
abdomen,2.238,1.48,abdomen
abdominal,2.909,2.114,abdominal
abedul,2.5,1.543,abedul
aberración,4.24,2.241,aberracion
abertura,3.708,1.681,abertura
abeto,2.136,1.583,abeto
abierta,3.263,1.661,abierta
abogacía,2.19,1.662,abogacia
abogar,2.333,1.204,abogar
abolición,3.13,1.984,abolicion
abolir,2.81,1.601,abolir
abolladura,3.455,1.92,abolladura
abominable,3.52,2.22,abominable
abonar,1.824,1.131,abonar
abono,1.818,0.958,abono
abordaje,3.15,2.134,abordaje
abordar,2.609,1.751,abordar
abordo,2.76,2.026,abordo
aborigen,2.87,1.914,aborigen
abortar,2.783,1.731,abortar
aborto,2.364,1.497,aborto
abra,2.632,1.674,abra
abrazafarolas,3.524,2.442,abrazafarolas
abrebotellas,2.833,2.014,abrebotellas
abrelatas,4.286,2.411,abrelatas
abreviación,2.0,1.622,abreviacion
abreviar,2.4,1.683,abreviar
abreviatura,2.087,1.676,abreviatura
abridor,3.048,1.802,abridor
abrigar,2.696,2.01,abrigar
abril,2.474,1.867,abril
abrir,3.7,1.78,abrir
abrumadora,1.95,1.317,abrumadora
abrupto,3.435,1.903,abrupto
absenta,2.952,2.037,absenta
absolución,2.522,1.702,absolucion
absolutismo,3.6,2.041,absolutismo
absolutista,2.174,1.642,absolutista
absoluto,3.429,1.886,absoluto
absorbente,4.44,2.043,absorbente
absorber,2.667,2.033,absorber
absorción,3.64,1.997,absorcion
absorto,2.895,1.997,absorto
abstención,2.96,1.645,abstencion
abstener,3.095,1.786,abstener
abstinencia,3.2,1.893,abstinencia
abstracción,3.158,1.864,abstraccion
abstracto,3.409,1.869,abstracto
abundante,2.5,1.638,abundante
abundar,3.25,2.152,abundar
aburrimiento,3.0,1.794,aburrimiento
aburrir,2.667,1.711,aburrir
abusar,3.76,2.006,abusar
abusivo,3.0,2.16,abusivo
acabar,2.273,1.638,acabar
academia,1.87,1.359,academia
académico,2.76,2.087,academico
acallar,2.792,2.0,acallar
acampar,2.56,1.502,acampar
acantilado,3.55,1.605,acantilado
ácaro,2.05,1.504,acaro
acarrear,3.0,1.599,acarrear
acaso,2.0,1.588,acaso
acatamiento,1.81,1.25,acatamiento
acceder,2.957,1.965,acceder
accesibilidad,3.895,1.941,accesibilidad
accesible,1.905,1.446,accesible
acceso,2.727,1.316,acceso
accesorio,2.875,1.918,accesorio
accidental,3.348,1.774,accidental
accionar,3.68,2.155,accionar
accionarial,2.235,1.715,accionarial
acciones,2.08,1.187,acciones
accionista,2.522,1.534,accionista
acebo,2.188,1.109,acebo
acechar,3.619,1.83,acechar
acecho,3.304,2.285,acecho
aceite,2.25,1.997,aceite
aceleración,4.2,2.255,aceleracion
acelerar,2.136,1.583,acelerar
acentuación,3.286,2.053,acentuacion
acentuar,3.32,2.212,acentuar
acepción,2.3,1.867,acepcion
aceptable,2.3,1.38,aceptable
aceptar,2.8,1.555,aceptar
acepto,4.12,1.986,acepto
acequia,1.938,1.063,acequia
acercamiento,2.048,1.499,acercamiento
acercar,2.5,1.472,acercar
acero,2.84,1.748,acero
acertada,2.92,1.73,acertada
acertar,3.16,1.951,acertar
acertijo,2.81,1.662,acertijo
achacar,3.294,2.024,achacar
achuchar,5.24,1.615,achuchar
aclamación,3.792,1.719,aclamacion
aclaración,3.0,1.958,aclaracion
aclarar,3.333,1.77,aclarar
acné,2.545,1.765,acne
acoger,3.2,1.683,acoger
acogida,2.364,1.432,acogida
acometer,3.24,1.855,acometer
acometida,1.947,1.177,acometida
acomodar,3.32,2.376,acomodar
acomodo,3.52,1.96,acomodo
acompañamiento,2.583,1.742,acompanamiento
acompañante,3.32,2.076,acompanante
acompañar,3.429,1.502,acompanar
acondicionado,2.905,1.758,acondicionado
acondicionamiento,1.095,0.436,acondicionamiento
aconsejable,2.6,1.903,aconsejable
aconsejar,2.174,1.302,aconsejar
acontecer,2.0,1.374,acontecer
acoplamiento,3.542,1.865,acoplamiento
acorazado,2.667,1.653,acorazado
acordar,3.0,1.555,acordar
acorde,2.048,1.359,acorde
acordeón,3.0,2.025,acordeon
acortar,3.44,1.96,acortar
acostar,2.88,1.9,acostar
acostumbrar,1.476,1.078,acostumbrar
acrecentar,3.48,1.851,acrecentar
acreditación,2.304,1.428,acreditacion
acreditar,2.095,1.375,acreditar
acreedor,2.435,1.727,acreedor
acrílico,2.1,1.294,acrilico
acritud,1.75,0.965,acritud
acrónimo,2.429,1.469,acronimo
acta,2.286,1.617,acta
actitud,2.087,1.593,actitud
activa,3.48,2.023,activa
activación,3.68,1.547,activacion
actividad,3.88,1.764,actividad
activismo,2.857,1.878,activismo
activista,3.36,1.955,activista
actor,3.0,1.897,actor
actora,2.474,1.837,actora
actuación,2.429,1.434,actuacion
actual,3.1,2.15,actual
actualidad,3.25,2.192,actualidad
actualización,1.955,1.29,actualizacion
actualizar,3.0,1.732,actualizar
acuática,4.92,1.824,acuatica
acudir,1.783,1.565,acudir
acueducto,3.333,2.033,acueducto
acuicultura,3.556,1.886,acuicultura
acumulación,3.2,1.683,acumulacion
acumular,2.7,1.525,acumular
acuñado,1.905,1.48,acunado
acuñar,2.778,1.768,acunar
acurrucado,4.5,2.064,acurrucado
acusación,2.957,1.846,acusacion
acusador,2.52,1.896,acusador
acuse,1.905,1.179,acuse
acústica,2.95,1.572,acustica
adaptabilidad,3.0,1.668,adaptabilidad
adaptación,3.72,1.926,adaptacion
adaptar,2.087,1.756,adaptar
adecuar,2.44,1.609,adecuar
adelantar,3.273,2.229,adelantar
adelante,4.24,2.067,adelante
adelanto,2.381,1.596,adelanto
además,3.48,2.084,ademas
adentrar,3.125,1.777,adentrar
adentro,2.174,1.337,adentro
adherencia,2.238,1.64,adherencia
adherir,3.12,2.186,adherir
adhesión,3.409,1.221,adhesion
adición,2.8,1.803,adicion
adicional,2.52,1.711,adicional
adiestramiento,3.857,2.032,adiestramiento
aditivo,4.286,1.736,aditivo
adivina,3.32,1.952,adivina
adivinación,3.52,1.873,adivinacion
adivinar,2.92,1.706,adivinar
adivino,3.238,1.998,adivino
adjetivo,2.261,1.657,adjetivo
adjudicación,1.381,0.669,adjudicacion
adjudicar,2.52,1.388,adjudicar
adjunta,3.4,1.826,adjunta
adjunto,2.0,1.049,adjunto
administración,2.455,1.765,administracion
administrador,2.52,1.686,administrador
administrar,3.04,1.767,administrar
administrativa,1.524,1.03,administrativa
admirable,3.348,1.921,admirable
admirador,3.95,2.012,admirador
admisible,2.8,1.732,admisible
admisión,2.75,1.648,admision
admitir,2.409,1.681,admitir
adobe,1.87,1.217,adobe
adolecer,3.125,1.586,adolecer
adolescencia,3.88,2.147,adolescencia
adoptar,2.12,1.509,adoptar
adoptivo,3.48,1.806,adoptivo
adorar,3.773,2.159,adorar
adornado,3.0,1.784,adornado
adornar,2.238,1.48,adornar
adorno,1.583,1.06,adorno
adosada,2.52,1.584,adosada
adosado,2.913,1.676,adosado
adquirir,2.24,1.3,adquirir
adquisición,2.44,1.938,adquisicion
adquisitivo,2.375,1.61,adquisitivo
adrenalina,2.619,1.658,adrenalina
adscripción,1.545,0.963,adscripcion
aduana,2.364,1.733,aduana
aduanera,2.636,1.465,aduanera
aducir,2.524,1.692,aducir
adulación,2.353,1.656,adulacion
advenimiento,1.562,0.814,advenimiento
adverbio,1.917,1.283,adverbio
adversidad,2.87,1.766,adversidad
adverso,2.696,1.869,adverso
advertencia,3.0,1.915,advertencia
adyacente,2.529,1.663,adyacente
aérea,3.44,1.805,aerea
aéreo,4.81,1.778,aereo
aeróbic,3.13,1.914,aerobic
aeródromo,3.708,1.922,aerodromo
aeroespacial,3.875,1.941,aeroespacial
aerolínea,3.2,1.893,aerolinea
aeronáutica,3.429,1.469,aeronautica
aeronave,3.48,2.064,aeronave
aeroplano,3.52,1.917,aeroplano
afable,2.706,1.404,afable
afán,3.6,2.062,afan
afasia,2.588,1.839,afasia
afección,2.19,1.365,afeccion
afecta,2.52,1.61,afecta
afectación,3.04,1.645,afectacion
afectiva,3.304,1.769,afectiva
afectuosa,2.143,1.59,afectuosa
afeitar,1.381,0.921,afeitar
aferrar,2.609,1.644,aferrar
afgano,2.409,1.943,afgano
aficionado,2.6,2.0,aficionado
afiliación,2.68,1.52,afiliacion
afiliar,2.6,1.581,afiliar
afín,2.286,1.953,afin
afinación,3.652,1.695,afinacion
afinar,2.84,1.972,afinar
afincado,2.238,1.868,afincado
afinidad,2.565,1.903,afinidad
afirmación,4.5,2.236,afirmacion
afirmar,3.542,1.693,afirmar
afirmativo,3.208,1.978,afirmativo
aflicción,3.333,1.81,afliccion
aflojar,2.96,2.01,aflojar
afluencia,2.524,1.401,afluencia
afluente,2.476,1.75,afluente
aforo,2.217,1.085,aforo
áfrica,2.857,2.081,africa
afroamericano,3.0,2.103,afroamericano
afrontar,3.524,1.721,afrontar
afuera,3.333,2.153,afuera
agachar,2.32,1.345,agachar
agarrado,3.909,1.797,agarrado
agarrar,4.72,1.815,agarrar
agarre,3.48,2.143,agarre
ágata,2.0,1.512,agata
agenda,2.88,1.9,agenda
ágil,2.542,2.064,agil
agilizar,2.55,1.82,agilizar
agitación,3.2,1.399,agitacion
agitar,3.04,1.947,agitar
aglomerado,2.25,1.86,aglomerado
aglutinar,3.6,1.708,aglutinar
agonizante,4.571,1.886,agonizante
agosto,2.333,1.798,agosto
agotamiento,2.88,1.878,agotamiento
agotar,2.8,1.893,agotar
agradable,3.6,1.78,agradable
agradecer,2.25,1.585,agradecer
agradecimiento,3.72,2.189,agradecimiento
agrado,2.64,1.63,agrado
agravamiento,3.16,1.972,agravamiento
agravar,2.565,1.727,agravar
agravio,3.059,1.919,agravio
agregación,3.417,1.998,agregacion
agregado,3.261,2.137,agregado
agregar,3.04,1.513,agregar
agresor,4.048,1.857,agresor
agria,3.783,2.11,agria
agrícola,3.24,2.047,agricola
agricultura,2.864,1.983,agricultura
agropecuaria,1.75,1.765,agropecuaria
agrupación,3.4,1.581,agrupacion
agrupar,2.522,1.62,agrupar
aguacero,3.4,1.759,aguacero
aguafuerte,3.095,1.998,aguafuerte
