palabra,mean_awe,mean_relief,mean_excitement,mean_amusement,mean_pleasure,mean_contentment,mean_serenity,sd_awe,sd_relief,sd_excitement,sd_amusement,sd_pleasure,sd_contentment,sd_serenity,palabra_noaccents
abandonado,1.6,1.15,1.3,1.33333,1.2,1.3,1.5,0.94032,0.67082,0.65695,0.79582,0.69585,0.97872,1.05785,abandonado
ábaco,1.47059,2.125,1.94444,1.625,1.64286,1.8125,2.29412,0.79982,1.08781,1.05564,0.7188,0.8419,0.83417,1.49016,abaco
abad,1.625,1.5,1.6,1.3125,1.69231,1.76923,1.84615,1.14746,0.6742,0.84327,0.60208,1.18213,1.01274,1.06819,abad
abadía,1.375,2.0,1.41667,1.6,2.35294,2.125,2.47059,0.88506,1.23669,0.66856,1.12122,1.32009,1.20416,1.17886,abadia
abandonar,1.35,1.85714,1.25,1.47619,1.2,1.4,1.45,0.58714,1.35225,0.44426,1.20909,0.41039,0.88258,0.88704,abandonar
abandono,1.55,1.35,1.0,1.15,1.0,1.05,1.26087,0.99868,0.67082,0.0,0.48936,0.0,0.22361,0.61919,abandono
abanico,2.3,2.7,2.40909,2.31818,2.85,2.9,2.9,1.21828,1.41793,1.43623,1.32328,1.08942,1.16529,1.37267,abanico
abarcar,2.35,2.35,2.75,1.63636,2.55,2.88,2.2,1.42441,1.22582,1.29269,0.95346,1.19097,1.26886,1.05631,abarcar
abastecer,2.6,3.09091,3.15,2.6,3.3,3.1,2.75,1.31389,1.306,1.38697,1.50088,1.26074,1.29371,1.20852,abastecer
abastecimiento,2.15,3.55,2.38095,2.14286,2.73913,3.1,2.95,1.26803,1.43178,1.11697,1.42428,1.21421,1.33377,1.46808,abastecimiento
abatir,1.85,1.8,1.5,1.5,1.8,1.7,1.36842,1.08942,1.19649,0.82717,0.94591,0.95145,1.26074,0.8307,abatir
abdomen,1.7,2.15,1.86364,1.95,2.15,2.25,1.86364,1.17429,1.03999,1.12527,1.14593,0.9333,1.16416,1.08213,abdomen
abeja,2.04762,1.4,1.9,1.45,2.25,1.85,1.83333,1.32198,0.82078,1.02084,0.60481,1.29269,1.13671,1.0495,abeja
abejas,2.4,1.7,1.55,1.9,2.25,2.15,1.875,1.42902,1.0311,1.05006,1.25237,1.33278,1.1821,1.1156,abejas
abejorro,1.6,1.31579,1.5,1.80952,1.45,1.47368,1.75,0.88258,0.67104,0.76089,1.28915,0.75915,0.84119,0.91047,abejorro
abertura,2.2,2.35,2.2,2.15789,2.57895,2.52632,2.7619,1.36111,1.1821,1.32188,1.21395,1.1698,1.26352,1.13599,abertura
abierta,2.3,3.15,2.75,3.0,3.05,2.57692,3.4,1.34164,1.22582,1.06992,1.41421,1.43178,1.33186,1.46539,abierta
abierto,2.2,2.95,3.25,2.95238,2.85,2.6,3.35,1.15166,1.14593,1.16416,1.43095,1.42441,1.3917,1.22582,abierto
abismo,2.35,1.5,1.9,1.2381,1.55,1.52632,1.57143,1.49649,0.80178,1.25237,0.43644,1.14593,0.69669,1.02817,abismo
abnegación,2.29412,2.38889,1.52632,1.15789,2.13333,2.0,1.8,1.26317,1.577,0.96427,0.50146,1.12546,1.22474,1.37321,abnegacion
abogacía,2.25,2.26316,1.54545,1.45,1.86957,2.35,1.89474,1.11803,1.24017,0.91168,0.99868,1.21746,1.13671,0.99413,abogacia
abogada,3.2381,2.36364,2.0,1.35,2.1,2.6,1.59091,1.17918,1.21677,1.21395,0.58714,1.11921,1.23117,0.79637,abogada
abogado,3.0,2.42857,1.9,1.45,1.55,1.9,2.04545,1.1698,1.39898,1.02084,0.75915,0.82558,0.91191,0.89853,abogado
abolición,2.42105,1.94444,2.25,2.05263,2.2,2.36842,2.04762,1.26121,1.05564,1.06992,1.35293,1.36111,1.38285,1.20317,abolicion
abolir,2.6,2.73684,2.04762,1.5,2.35,2.4,1.65,1.53554,1.408,1.46548,0.85749,1.30888,1.23117,0.81273,abolir
abominable,1.72222,1.31579,1.95455,1.44444,1.38889,1.52632,1.26316,1.17851,0.58239,1.0455,0.78382,0.84984,1.1239,0.65338,abominable
abonar,2.08,2.55,2.20833,1.82609,2.45,2.6,1.63636,1.25565,1.31689,1.28466,1.07247,1.23438,1.27321,0.95346,abonar
abono,1.6,2.2,1.8,1.61905,1.95652,2.54545,2.35,0.68056,1.47256,1.32188,1.07127,1.10693,1.3355,1.1821,abono
abordar,2.3,2.2381,2.69565,1.45,2.15,2.9,2.42857,1.52523,1.41084,1.10514,0.82558,0.98809,1.37267,1.59911,abordar
aborigen,2.57895,1.75,1.7619,1.63158,2.05882,1.66667,2.0,1.46499,1.18322,1.13599,0.95513,1.19742,0.90749,0.92582,aborigen
aborto,2.45,2.4,1.66667,1.45,1.85,1.75,1.68182,1.19097,1.3917,1.31656,0.94451,1.1821,1.11803,0.94548,aborto
abrasador,1.6,1.6,1.95,1.45,1.48,1.6,1.45455,0.88258,0.82078,1.23438,0.82558,0.8226,0.94032,0.73855,abrasador
abrazar,3.85,4.27273,4.05,3.55,4.6,4.58333,4.22727,1.30888,1.12045,0.99868,1.35627,0.68056,0.65386,1.37778,abrazar
abrazo,3.35,4.35,3.9,3.36364,4.5,4.65,4.6,1.22582,1.34849,1.44732,1.17698,1.0,0.98809,0.99472,abrazo
abreviatura,1.55,2.15,1.3,2.1,2.25,2.05,2.1,0.82558,1.08942,0.57124,1.07115,1.16416,1.05006,0.96791,abreviatura
abrigo,2.31818,2.88,2.3,1.95238,3.0,2.15,3.0,1.615,1.23558,1.34164,1.16087,1.02598,1.42441,1.37649,abrigo
abrir,1.7,2.73913,3.2,2.2,3.36364,2.52174,2.6,0.8645,1.21421,1.43637,1.23969,1.17698,1.344,1.31389,abrir
abroncar,1.41176,1.78947,1.21053,1.38889,1.6875,1.375,1.38889,0.61835,0.91766,0.5353,0.77754,0.87321,0.5,0.6978,abroncar
abrumado,1.89474,1.52632,1.84211,1.40909,1.6,1.8,1.28571,1.14962,0.77233,0.83421,0.59033,1.09545,1.05631,0.46291,abrumado
abrumadora,2.0,1.5,2.3,1.85714,1.8,2.25,1.91304,1.21395,0.82717,1.38031,1.01419,1.19649,1.33278,0.94931,abrumadora
absolución,2.0,3.36842,2.46667,2.09091,2.11111,2.82353,2.57143,1.46059,1.70654,1.12546,1.4445,1.2314,1.33395,1.56753,absolucion
absoluto,2.63636,2.6,2.7,1.95,2.66667,2.55,2.18182,1.21677,1.42902,1.30182,0.99868,1.27404,1.31689,1.05272,absoluto
absorber,2.0,1.9,2.05,1.75,2.3,1.7,2.13043,1.14018,1.20961,0.88704,0.96655,1.12858,1.17429,1.01374,absorber
absorción,2.52174,2.26316,1.85,1.45455,1.95,1.8,2.56522,1.41001,1.09758,1.1821,0.9625,1.35627,1.15166,1.23679,absorcion
absorto,2.94444,2.52941,2.45,1.94444,2.23529,2.44444,2.65,1.69679,1.32842,1.2763,1.21133,1.48026,0.92178,1.34849,absorto
abstención,1.8,2.27778,1.5,1.52381,1.59091,1.65,1.94737,1.15166,1.22741,0.68825,0.81358,0.79637,0.9333,1.17727,abstencion
abstinencia,2.33333,2.26087,1.45,1.8,1.5,1.80952,1.42857,1.27802,1.28691,0.68633,1.10501,0.94591,1.03049,0.74642,abstinencia
abstinente,2.42105,1.85,1.83333,1.63158,1.63636,1.55556,1.66667,1.30451,0.98809,0.98518,0.76089,0.78954,0.70479,0.91287,abstinente
abstracción,3.0,2.33333,2.6,2.52174,2.53846,2.78947,2.85714,1.52177,1.19722,1.31389,1.23838,1.36325,1.35724,1.35225,abstraccion
abstracto,2.8,2.04762,2.08696,2.65,2.85,2.2,2.65,1.43637,1.02353,1.12464,1.42441,1.03999,1.15166,1.46089,abstracto
absurdo,1.55,1.7,1.57143,2.05,1.9,1.5,1.54545,0.88704,0.80131,0.92582,1.23438,1.25237,0.60698,1.01076,absurdo
abuela,4.35,3.35,3.85,3.95,4.15,3.9,3.75,1.03999,1.53125,1.08942,1.19097,1.1821,1.25237,1.48235,abuela
abuelo,4.3,3.8,3.69565,2.95652,3.45,4.1,3.6,0.80131,1.54238,1.36298,1.39734,1.43178,1.29371,1.46539,abuelo
abundancia,3.15,3.3,3.08,2.95238,3.2,3.7,2.7,1.34849,1.55935,1.25565,1.35927,1.39925,1.26074,1.30182,abundancia
abundante,2.75,3.4,2.9,3.15,2.95,3.36364,2.9,1.37171,0.99472,1.37267,1.30888,1.31689,0.90214,1.41049,abundante
aburrido,1.35,1.27273,1.15,1.1,1.75,1.0,2.25,0.74516,0.55048,0.36635,0.30779,1.16416,0.0,0.91047,aburrido
aburrimiento,1.4,1.55,1.2,1.2,1.5,1.4,2.2,0.59824,0.82558,0.41039,0.89443,0.88852,0.68056,1.10501,aburrimiento
abusar,1.1,1.1,1.4,1.09524,1.0,1.1,1.25,0.30779,0.44721,0.88258,0.30079,0.0,0.30779,0.55012,abusar
