palabra,rt,palabra_noaccents
abalanzar,472.32,abalanzar
abalanzarse,543.51,abalanzarse
abanderar,507.32,abanderar
abandonar,496.39,abandonar
abandonarse,519.45,abandonarse
abanicar,521.28,abanicar
abanicarse,564.41,abanicarse
abaratar,491.34,abaratar
abarcar,475.9,abarcar
abarrotar,519.03,abarrotar
abastecer,541.15,abastecer
abastecerse,564.72,abastecerse
abatir,518.63,abatir
abdicar,519.35,abdicar
abjurar,558.07,abjurar
ablandar,482.17,ablandar
abocar,491.86,abocar
abocetar,511.9,abocetar
abochornar,578.25,abochornar
abofetear,502.84,abofetear
abogar,513.09,abogar
abolir,518.47,abolir
abollar,507.89,abollar
abombar,601.44,abombar
abominar,515.69,abominar
abonar,480.99,abonar
abordar,487.22,abordar
abordarse,480.46,abordarse
aborrecer,526.58,aborrecer
aborrecerse,517.01,aborrecerse
abortar,490.67,abortar
abotonar,536.09,abotonar
abovedar,528.92,abovedar
aboyar,485.21,aboyar
abrasar,524.6,abrasar
abrazar,496.63,abrazar
abrevar,509.07,abrevar
abreviar,483.55,abreviar
abrigar,481.13,abrigar
abrigarse,530.42,abrigarse
abrillantar,538.23,abrillantar
abrir,473.78,abrir
abrirse,489.39,abrirse
abrochar,512.03,abrochar
abrocharse,501.99,abrocharse
abroncar,558.19,abroncar
abrumar,528.95,abrumar
absolver,546.77,absolver
absorver,521.33,absorver
abstener,535.56,abstener
abstenerse,532.49,abstenerse
abstraer,512.68,abstraer
abuchear,530.23,abuchear
abultar,477.28,abultar
abundar,529.08,abundar
aburrir,509.29,aburrir
aburrirse,478.39,aburrirse
abusar,487.09,abusar
acabar,501.43,acabar
acabarse,546.37,acabarse
academizar,588.88,academizar
acaecer,546.03,acaecer
acallar,518.28,acallar
acalorar,545.15,acalorar
acampar,494.77,acampar
acantonar,573.67,acantonar
acaparar,560.98,acaparar
acariciar,497.86,acariciar
acarrear,536.6,acarrear
acatar,491.55,acatar
acatarrar,527.91,acatarrar
acaudalar,630.39,acaudalar
acceder,506.3,acceder
accidentar,553.17,accidentar
accidentarse,537.27,accidentarse
accionar,486.78,accionar
acechar,562.83,acechar
acedar,602.9,acedar
aceitar,492.88,aceitar
acelerar,493.41,acelerar
acendrar,595.84,acendrar
acentuar,494.53,acentuar
acentuarse,519.43,acentuarse
aceptar,509.59,aceptar
aceptarse,493.63,aceptarse
acerar,483.26,acerar
acercar,503.81,acercar
acercarse,532.09,acercarse
acertar,491.45,acertar
achacar,534.39,achacar
achatar,536.28,achatar
achicar,543.21,achicar
achicharrar,578.39,achicharrar
achuchar,550.92,achuchar
acicalar,573.76,acicalar
aclamar,526.46,aclamar
aclarar,483.68,aclarar
aclararse,577.61,aclararse
aclimatar,524.12,aclimatar
acobardar,588.34,acobardar
acoger,503.5,acoger
acogerse,528.53,acogerse
acolchar,550.27,acolchar
acometer,535.5,acometer
acomodar,503.29,acomodar
acompañar,483.26,acompanar
acompañarse,505.82,acompanarse
acompasar,513.44,acompasar
acondicionar,566.18,acondicionar
acongojar,568.6,acongojar
aconsejar,483.58,aconsejar
acontecer,509.21,acontecer
acopiar,470.4,acopiar
acoplar,496.7,acoplar
acoplarse,521.35,acoplarse
acorazar,579.58,acorazar
acorchar,578.01,acorchar
acordar,517.67,acordar
acordarse,516.17,acordarse
acordonar,518.81,acordonar
acorralar,521.26,acorralar
acortar,476.89,acortar
acosar,493.76,acosar
acostar,518.42,acostar
acostarse,521.32,acostarse
acostumbrar,536.4,acostumbrar
acostumbrarse,513.53,acostumbrarse
acotar,489.32,acotar
acrecentar,589.06,acrecentar
acrecer,516.13,acrecer
acreditar,510.98,acreditar
acribillar,528.4,acribillar
acrisolar,543.01,acrisolar
acristalar,546.44,acristalar
activar,484.09,activar
actualizar,474.95,actualizar
actualizarse,547.85,actualizarse
actuar,472.5,actuar
acuartelar,673.15,acuartelar
acuchillar,520.71,acuchillar
acuciar,581.0,acuciar
acudir,478.56,acudir
acumular,489.26,acumular
acumularse,530.78,acumularse
acunar,487.16,acunar
acuñar,485.33,acunar
acurrucarse,553.53,acurrucarse
acusar,500.6,acusar
adaptar,478.53,adaptar
adaptarse,518.03,adaptarse
adecentar,548.29,adecentar
adecentarse,584.09,adecentarse
adecuar,509.05,adecuar
adecuarse,537.26,adecuarse
adelantar,498.74,adelantar
adelantarse,489.2,adelantarse
adelgazar,525.6,adelgazar
adentrar,517.55,adentrar
adentrarse,490.28,adentrarse
aderezar,498.87,aderezar
adeudar,504.46,adeudar
adherir,547.2,adherir
adherirse,557.57,adherirse
adicionar,495.2,adicionar
adiestrar,524.95,adiestrar
adivinar,476.08,adivinar
adjetivar,560.09,adjetivar
adjudicar,538.82,adjudicar
adjudicarse,607.36,adjudicarse
adjuntar,509.32,adjuntar
administrar,533.69,administrar
admirar,487.5,admirar
admitir,505.59,admitir
adobar,543.77,adobar
adoctrinar,525.89,adoctrinar
adolecer,503.14,adolecer
adoptar,487.5,adoptar
adoptarse,507.33,adoptarse
adorar,498.71,adorar
adormecer,544.89,adormecer
adormecerse,580.84,adormecerse
adornar,476.43,adornar
adosar,495.04,adosar
adquirir,477.23,adquirir
adscribir,575.25,adscribir
aducir,503.81,aducir
adueñar,528.56,aduenar
adueñarse,519.14,aduenarse
adular,507.99,adular
adulterar,529.47,adulterar
advertir,533.44,advertir
afamar,475.51,afamar
afanar,510.98,afanar
afear,525.61,afear
afectar,484.0,afectar
afeitar,485.62,afeitar
afeitarse,538.18,afeitarse
afeminar,561.24,afeminar
aferrar,474.09,aferrar
aferrarse,534.84,aferrarse
afianzar,520.4,afianzar
afianzarse,517.33,afianzarse
aficionar,521.86,aficionar
aficionarse,564.82,aficionarse
afilar,513.5,afilar
afiliar,459.75,afiliar
afiliarse,526.51,afiliarse
afinar,473.29,afinar
afincar,547.23,afincar
afirmar,483.84,afirmar
afirmarse,501.58,afirmarse
afligir,528.44,afligir
aflojar,514.51,aflojar
aflorar,518.9,aflorar
afluir,507.49,afluir
afrentar,499.44,afrentar
afrontar,476.92,afrontar
agachar,480.35,agachar
agacharse,527.83,agacharse
agarrar,486.96,agarrar
agarrarse,516.18,agarrarse
agarrotar,556.37,agarrotar
agasajar,565.1,agasajar
agazapar,528.99,agazapar
agenciar,516.29,agenciar
agigantar,548.71,agigantar
agilizar,528.8,agilizar
agitar,501.48,agitar
agitarse,516.51,agitarse
aglomerar,526.54,aglomerar
aglutinar,566.06,aglutinar
agobiar,467.36,agobiar
agolpar,505.39,agolpar
agonizar,516.28,agonizar
agotar,474.5,agotar
agotarse,495.73,agotarse
agraciar,567.33,agraciar
agradar,499.43,agradar
agradecer,488.17,agradecer
agrandar,553.65,agrandar
agravar,493.17,agravar
agraviar,540.26,agraviar
agredir,476.91,agredir
agregar,491.0,agregar
agriar,508.1,agriar
agrietar,539.29,agrietar
agrupar,489.5,agrupar
agruparse,496.67,agruparse
aguantar,484.06,aguantar
aguantarse,503.93,aguantarse
aguar,504.19,aguar
aguardar,493.49,aguardar
agudizar,470.08,agudizar
aguijar,578.57,aguijar
agujerear,535.63,agujerear
agusanar,534.72,agusanar
aguzar,514.85,aguzar
ahijar,536.62,ahijar
ahogar,493.18,ahogar
ahogarse,520.95,ahogarse
ahondar,517.35,ahondar
ahorcar,513.46,ahorcar
ahorrar,497.84,ahorrar
ahorrarse,531.55,ahorrarse
ahuecar,543.75,ahuecar
ahumar,497.18,ahumar
ahumarse,500.38,ahumarse
ahuyentar,527.74,ahuyentar
airar,494.75,airar
airear,511.12,airear
airearse,595.4,airearse
aislar,499.18,aislar
aislarse,526.03,aislarse
ajustar,463.1,ajustar
ajustarse,519.54,ajustarse
ajusticiar,502.86,ajusticiar
alabar,479.3,alabar
alabarse,547.26,alabarse
alabear,566.58,alabear
alagar,475.65,alagar
alancear,528.91,alancear
alar,478.67,alar
alardear,564.65,alardear
alargar,486.89,alargar
alargarse,551.73,alargarse
alarmar,479.02,alarmar
albergar,541.15,albergar
alborear,586.86,alborear
alborotar,522.45,alborotar
alborozar,565.92,alborozar
alcantarillar,612.52,alcantarillar
alcanzar,532.64,alcanzar
alcoholizar,554.0,alcoholizar
alear,474.45,alear
aleccionar,548.16,aleccionar
alegar,495.91,alegar
alegrar,478.7,alegrar
alejar,471.09,alejar
alejarse,513.52,alejarse
alentar,484.26,alentar
alertar,491.86,alertar
alertarse,547.27,alertarse
aletargar,588.08,aletargar
aletear,595.36,aletear
alfombrar,501.08,alfombrar
aliar,491.61,aliar
aliarse,522.61,aliarse
alienar,480.43,alienar
aligerar,517.75,aligerar
alimentar,504.1,alimentar
alimentarse,503.34,alimentarse
alinear,506.28,alinear
alinearse,516.94,alinearse
aliñar,500.18,alinar
alisar,487.6,alisar
alistar,514.09,alistar
alistarse,531.74,alistarse
aliviar,497.32,aliviar
allanar,496.08,allanar
allanarse,556.94,allanarse
allegar,495.13,allegar
almacenar,487.8,almacenar
almidonar,549.15,almidonar
almohadillar,570.35,almohadillar
almorzar,525.03,almorzar
alojar,505.13,alojar
alojarse,522.25,alojarse
alquilar,480.97,alquilar
alquitranar,574.89,alquitranar
alterar,498.45,alterar
altercar,597.69,altercar
alternar,497.96,alternar
alucinar,484.97,alucinar
aludir,522.74,aludir
alumbrar,520.6,alumbrar
alunizar,531.14,alunizar
alzar,469.56,alzar
amadrinar,538.19,amadrinar
amaestrar,582.0,amaestrar
amagar,495.12,amagar
