palabra,Prototypicality_Mean,Prototypicality_SD,Valence_Mean,Valence_SD,Arousal_Mean,Arousal_SD,Happiness_Mean,Happiness_SD,Disgust_Mean,Disgust_SD,Anger_Mean,Anger_SD,Fear_Mean,Fear_SD,Sadness_Mean,Sadness_SD,AoA_Mean,AoA_SD,Concreteness_Mean,Concreteness_SD,palabra_noaccents
abandonado,2.35,1.2680278927697548,,,,,,,,,,,,,,,,,5.142857142857143,1.7968225924034424,abandonado
abandonarse,2.0,1.0954451150103321,1.894736842105263,0.875261030404661,5.684210526315789,2.5397425849209236,1.15,0.36634754853252327,2.925925925925926,1.268734254951213,2.761904761904762,0.8890872794479684,3.0,1.5559732104309982,4.05,1.2343760409722457,7.714285714285714,2.028370211348439,3.909090909090909,1.7970635017820682,abandonarse
abandono,2.380952380952381,1.499206139134658,,,,,,,,,,,,,,,,,4.92,1.5253414918196737,abandono
abatido,3.3684210526315788,1.4224597754824204,2.769230769230769,1.7506042912706985,1.72,0.9797958971132714,1.1,0.3077935056255463,1.6,0.9403246919632544,2.9047619047619047,1.1359912809859898,2.8095238095238093,1.2891488517253398,3.85,1.0894228312566057,9.666666666666666,1.3540064007726613,3.8636363636363638,1.6415861825701366,abatido
abatimiento,3.0,1.3719886811400708,,,,,,,,,,,,,,,,,4.086956521739131,1.4744195615489715,abatimiento
abatirse,2.8,1.3992479182911457,2.4210526315789473,1.346426937147361,5.136363636363637,2.713203247357607,1.2,0.4103913408340616,2.1,1.2937094768634554,2.5,1.0431851677040116,2.8333333333333335,1.1504474832710556,3.8421052631578947,0.8342100651206139,10.157894736842104,1.2588865404147551,3.391304347826087,1.5296800151066234,abatirse
abochornado,3.9,1.3726654823065196,2.45,1.2763022245616642,6.363636363636363,2.0364641286273986,1.3,0.5712405705774795,2.05,1.3562719801759993,3.142857142857143,1.0623424252901836,2.45,1.1459310165698642,3.0476190476190474,1.1169686869465267,10.142857142857142,1.152636728796815,4.684210526315789,1.634782743939708,abochornado
abochornarse,3.8421052631578947,1.5370663939515448,3.44,2.180978373727412,2.0,1.224744871391589,1.15,0.36634754853252327,2.5,1.3394467690277294,2.9,1.3337718577107005,2.8095238095238093,1.4006801069140526,2.7058823529411766,1.1048023512348795,10.333333333333334,1.3165611772087638,4.35,1.6944180805158295,abochornarse
abominado,2.3529411764705883,1.3200935795706035,2.769230769230769,1.4232501627054275,6.3,1.8093325317714037,1.2727272727272727,0.6466697906828633,2.533333333333333,1.505545305418162,2.3,1.3374935098492586,3.142857142857143,1.231455852429764,2.8333333333333335,1.2673044646258478,10.736842105263158,0.7334928056269095,2.933333333333333,1.709915063331955,abominado
abominar,2.5714285714285716,1.6035674514745464,3.0,1.4719601443879744,6.222222222222222,2.101975416981552,1.5,0.816496580927726,2.8,1.3165611772087664,3.0,1.2535663410560174,2.8181818181818183,1.3280197150781927,3.272727272727273,1.2720777563426768,9.947368421052632,1.4327007988227594,4.555555555555555,1.381483525788905,abominar
aborrecer,2.142857142857143,1.5259657363687522,3.3461538461538463,1.719123211228507,2.52,1.8055470085267789,1.263157894736842,0.4524139283588642,2.35,1.3869694338832113,2.8947368421052633,1.2864566686188532,2.2857142857142856,1.2705454396776663,3.0,1.5217718205053643,9.142857142857142,2.0318886358684702,4.72,1.5684387141358118,aborrecer
aborrecido,2.6818181818181817,1.3232846447693147,2.6,1.046296727561194,5.545454545454546,2.5397276330773053,1.25,0.4442616583193193,2.2,1.4725559590832462,2.7,1.2607433062326865,2.1052631578947367,1.3289401308354822,2.3157894736842106,1.002919714242558,9.238095238095237,2.095346317551395,4.0,1.848422751068236,aborrecido
aborrecimiento,2.1818181818181817,1.5003607069909057,2.2,1.0052493799000692,5.416666666666667,2.1652726842366645,1.263157894736842,0.4524139283588642,2.090909090909091,1.3419634126405238,1.9,0.967906041546987,1.9523809523809523,1.2440333788202982,3.25,1.2085223687584246,,,4.052631578947368,1.899522870223711,aborrecimiento
abrumado,3.238095238095238,1.4800257398019097,,,,,,,,,,,,,,,,,4.380952380952381,1.8567765206451337,abrumado
abrumarse,2.9,1.3337718577107005,4.35,1.6311119875071343,6.636363636363637,1.6774542658006553,1.631578947368421,0.8950807732508138,1.8,1.105012502906165,2.25,1.0645812948447542,2.388888888888889,1.2432826042324117,2.176470588235294,1.0145993123917847,10.26086956521739,1.629762707333013,3.739130434782609,1.789296238096974,abrumarse
aburrido,2.6363636363636362,1.5289415743128767,,,,,,,,,,,,,,,,,4.857142857142857,1.6518388022356867,aburrido
aburrimiento,2.9523809523809526,1.2440333788202984,,,,,,,,,,,,,,,,,,,aburrimiento
aburrirse,3.1904761904761907,1.2090925365350504,2.95,1.6375527311718607,2.6,1.8750438591361567,1.4,0.5982430416161186,2.3333333333333335,1.3867504905630728,1.9047619047619047,0.9436504599035548,1.4,0.9403246919632544,2.6,1.2732056517228267,4.333333333333333,1.7701224063135674,4.619047619047619,1.6271505915615334,aburrirse
acalorado,1.2857142857142858,0.560611910581388,4.038461538461538,1.4827209914415922,3.8076923076923075,1.5752899610987374,1.95,1.0990426455975697,2.3,1.0809352675491624,2.761904761904762,1.338086764928265,1.9090909090909092,1.2309149097933272,1.9523809523809523,0.8646496675642958,7.809523809523809,1.7210185245675769,4.7727272727272725,1.3777766140664454,acalorado
acalorarse,2.380952380952381,1.3592715135759477,4.8,1.7651599003161753,6.818181818181818,1.763015912640923,2.2,1.1964860832322377,2.35,1.1367080817685316,2.238095238095238,1.1791845447071423,1.65,0.8127277008872489,1.4,0.7539370349250518,8.142857142857142,2.3934434249782117,4.478260869565218,1.562910025252757,acalorarse
aceptación,2.0476190476190474,1.1169686869465265,,,,,,,,,,,,,,,,,3.84,1.5989579940281944,aceptacion
aceptado,2.619047619047619,1.5644868320376009,7.0,1.8353258709644942,4.5,2.7625312572654126,4.35,0.5871429486124002,1.1481481481481481,0.5337605126836237,1.0952380952380953,0.43643578047198484,1.15,0.6708203932499369,1.1,0.447213595499958,6.333333333333333,1.6227548592850773,4.68,1.4640127503998508,aceptado
aceptar,1.5714285714285714,1.0757057484009542,,,,,,,,,,,,,,,,,,,aceptar
aclamado,2.210526315789474,1.3975751766073288,5.947368421052632,1.5082618476808294,6.15,2.254235779009911,3.611111111111111,1.092158622873225,1.24,0.597215762238964,1.4,0.5982430416161186,1.55,0.887041208323017,1.1578947368421053,0.501459857121279,9.476190476190476,1.691716513457488,4.333333333333333,1.6854019432007685,aclamado
aclamar,1.5263157894736843,1.1239029738980326,,,,,,,,,,,,,,,,,,,aclamar
acobardarse,3.5714285714285716,1.3627702877384942,2.55,0.9445132413883324,5.5,1.9940387348771529,1.15,0.36634754853252327,2.0454545454545454,0.9989171626493849,2.0952380952380953,1.13599128098599,3.3,1.4179302929937965,3.090909090909091,1.019294382875251,8.095238095238095,1.546116486709909,4.2272727272727275,1.7438823185999512,acobardarse
acogedor,2.6,1.391704747876919,,,,,,,,,,,,,,,,,4.1,1.9166857359844667,acogedor
acogido,2.25,1.2513150976809202,6.3076923076923075,1.8059729957943607,7.666666666666667,1.0901402648748673,3.95,1.276302224561664,1.1,0.447213595499958,1.380952380952381,0.7400128699009548,1.3181818181818181,0.5679003631895497,1.6666666666666667,0.9128709291752768,8.571428571428571,1.989256860524265,4.333333333333333,1.7416467303484178,acogido
