word,database
abeja,ferre_2012
abejorro,ferre_2012
aguila,ferre_2012
alce,ferre_2012
almeja,ferre_2012
anguila,ferre_2012
ardilla,ferre_2012
asno,ferre_2012
atun,ferre_2012
avestruz,ferre_2012
babosa,ferre_2012
ballena,ferre_2012
bisonte,ferre_2012
buey,ferre_2012
bufalo,ferre_2012
buitre,ferre_2012
burro,ferre_2012
caiman,ferre_2012
camaleon,ferre_2012
camello,ferre_2012
canario,ferre_2012
cangrejo,ferre_2012
canguro,ferre_2012
caracol,ferre_2012
cebra,ferre_2012
chacal,ferre_2012
chimpance,ferre_2012
chinche,ferre_2012
ciervo,ferre_2012
ciguena,ferre_2012
cisne,ferre_2012
cochinilla,ferre_2012
cocodrilo,ferre_2012
colibri,ferre_2012
comadreja,ferre_2012
cotorra,ferre_2012
cuervo,ferre_2012
culebra,ferre_2012
delfin,ferre_2012
dromedario,ferre_2012
elefante,ferre_2012
erizo,ferre_2012
escarabajo,ferre_2012
faisan,ferre_2012
foca,ferre_2012
gacela,ferre_2012
gallina,ferre_2012
ganso,ferre_2012
garrapata,ferre_2012
garza,ferre_2012
gaviota,ferre_2012
golondrina,ferre_2012
gorila,ferre_2012
gorrion,ferre_2012
grillo,ferre_2012
hamster,ferre_2012
hiena,ferre_2012
hipopotamo,ferre_2012
hormiga,ferre_2012
iguana,ferre_2012
jabali,ferre_2012
jirafa,ferre_2012
koala,ferre_2012
lagartija,ferre_2012
lagarto,ferre_2012
lechuza,ferre_2012
leopardo,ferre_2012
libelula,ferre_2012
liebre,ferre_2012
lince,ferre_2012
lobo,ferre_2012
lombriz,ferre_2012
loro,ferre_2012
luciernaga,ferre_2012
mapache,ferre_2012
medusa,ferre_2012
mejillon,ferre_2012
mofeta,ferre_2012
mono,ferre_2012
morsa,ferre_2012
mosca,ferre_2012
murcielago,ferre_2012
nutria,ferre_2012
oca,ferre_2012
orangutan,ferre_2012
oso,ferre_2012
ostra,ferre_2012
oveja,ferre_2012
pantera,ferre_2012
papagayo,ferre_2012
pato,ferre_2012
pavo,ferre_2012
pelicano,ferre_2012
perdiz,ferre_2012
periquito,ferre_2012
pinguino,ferre_2012
polilla,ferre_2012
pulga,ferre_2012
pulpo,ferre_2012
raton,ferre_2012
reno,ferre_2012
rinoceronte,ferre_2012
ruisenor,ferre_2012
salamandra,ferre_2012
saltamontes,ferre_2012
sanguijuela,ferre_2012
sapo,ferre_2012
sepia,ferre_2012
tabano,ferre_2012
tarantula,ferre_2012
tigre,ferre_2012
topo,ferre_2012
toro,ferre_2012
tortuga,ferre_2012
trucha,ferre_2012
tucan,ferre_2012
urraca,ferre_2012
vibora,ferre_2012
zorro,ferre_2012
abogado,ferre_2012
abuelo,ferre_2012
actriz,ferre_2012
albanil,ferre_2012
amante,ferre_2012
anciano,ferre_2012
arqueologo,ferre_2012
arquitecto,ferre_2012
artista,ferre_2012
atleta,ferre_2012
banquero,ferre_2012
barrendero,ferre_2012
basurero,ferre_2012
